Absolute Time,z1_psi,z1_x,z1_y,eta_d_PSI,eta_d_X,eta_d_Y,eta_hat_psi,eta_hat_x,eta_hat_y,s,s_dot,bias_psi,bias_x,bias_y,nu_psi_hat, nu_x_hat, nu_y_hat
3574066970.109197,-0.942073,-8.972521,-4.218675,0.379414,9.899357,3.955379,-0.562660,0.926835,-0.263296,0.987814,0.000289,-0.009298,-0.010241,-0.046329,-0.005398,-0.013964,-0.007450
3574066970.119195,-0.942128,-8.972703,-4.218674,0.379414,9.899380,3.955390,-0.562714,0.926678,-0.263285,0.987817,0.000289,-0.009298,-0.010238,-0.046330,-0.005398,-0.013964,-0.007449
3574066970.129197,-0.942181,-8.972844,-4.218597,0.379414,9.899404,3.955401,-0.562766,0.926560,-0.263196,0.987820,0.000289,-0.009297,-0.010244,-0.046261,-0.005399,-0.013966,-0.007438
3574066970.139195,-0.942235,-8.973025,-4.218596,0.379415,9.899427,3.955412,-0.562820,0.926402,-0.263185,0.987823,0.000289,-0.009297,-0.010238,-0.046262,-0.005399,-0.013966,-0.007437
3574066970.149197,-0.942289,-8.973170,-4.218520,0.379415,9.899451,3.955423,-0.562874,0.926281,-0.263097,0.987826,0.000289,-0.009297,-0.010245,-0.046195,-0.005401,-0.013968,-0.007426
3574066970.159195,-0.942344,-8.973352,-4.218520,0.379415,9.899474,3.955434,-0.562928,0.926123,-0.263086,0.987828,0.000289,-0.009297,-0.010239,-0.046197,-0.005400,-0.013968,-0.007425
3574066970.169197,-0.942399,-8.973502,-4.218445,0.379415,9.899498,3.955445,-0.562984,0.925996,-0.263000,0.987831,0.000289,-0.009298,-0.010250,-0.046134,-0.005403,-0.013970,-0.007415
3574066970.179196,-0.942453,-8.973683,-4.218444,0.379416,9.899521,3.955456,-0.563038,0.925839,-0.262988,0.987834,0.000289,-0.009298,-0.010247,-0.046134,-0.005403,-0.013970,-0.007414
3574066970.189198,-0.942506,-8.973838,-4.218370,0.379416,9.899545,3.955467,-0.563090,0.925707,-0.262903,0.987837,0.000289,-0.009297,-0.010261,-0.046074,-0.005403,-0.013973,-0.007404
3574066970.199193,-0.942560,-8.974019,-4.218370,0.379416,9.899568,3.955478,-0.563144,0.925549,-0.262891,0.987840,0.000289,-0.009297,-0.010253,-0.046075,-0.005403,-0.013973,-0.007403
3574066970.209198,-0.942616,-8.974175,-4.218298,0.379416,9.899592,3.955489,-0.563200,0.925417,-0.262808,0.987843,0.000289,-0.009298,-0.010266,-0.046017,-0.005406,-0.013976,-0.007394
3574066970.219197,-0.942671,-8.974356,-4.218296,0.379417,9.899615,3.955500,-0.563254,0.925259,-0.262796,0.987846,0.000289,-0.009298,-0.010262,-0.046017,-0.005405,-0.013977,-0.007393
3574066970.229197,-0.942725,-8.974513,-4.218223,0.379417,9.899639,3.955511,-0.563308,0.925125,-0.262712,0.987849,0.000289,-0.009298,-0.010277,-0.045958,-0.005407,-0.013980,-0.007383
3574066970.239197,-0.942780,-8.974695,-4.218222,0.379417,9.899662,3.955522,-0.563362,0.924968,-0.262699,0.987852,0.000289,-0.009298,-0.010272,-0.045959,-0.005407,-0.013980,-0.007382
3574066970.249200,-0.942834,-8.974855,-4.218151,0.379417,9.899686,3.955533,-0.563417,0.924831,-0.262618,0.987854,0.000289,-0.009299,-0.010287,-0.045904,-0.005408,-0.013984,-0.007373
3574066970.259197,-0.942888,-8.975036,-4.218150,0.379418,9.899709,3.955544,-0.563471,0.924673,-0.262606,0.987857,0.000289,-0.009299,-0.010284,-0.045904,-0.005408,-0.013984,-0.007372
3574066970.269199,-0.942941,-8.975194,-4.218080,0.379418,9.899733,3.955555,-0.563523,0.924538,-0.262524,0.987860,0.000289,-0.009297,-0.010299,-0.045848,-0.005408,-0.013987,-0.007362
3574066970.279199,-0.942995,-8.975375,-4.218078,0.379418,9.899756,3.955567,-0.563577,0.924381,-0.262512,0.987863,0.000289,-0.009297,-0.010292,-0.045850,-0.005408,-0.013987,-0.007362
3574066970.289199,-0.943050,-8.975540,-4.218008,0.379418,9.899780,3.955578,-0.563631,0.924240,-0.262431,0.987866,0.000289,-0.009297,-0.010310,-0.045796,-0.005409,-0.013991,-0.007352
3574066970.299198,-0.943104,-8.975721,-4.218007,0.379419,9.899803,3.955589,-0.563686,0.924082,-0.262418,0.987869,0.000289,-0.009297,-0.010305,-0.045797,-0.005409,-0.013991,-0.007352
3574066970.309200,-0.943159,-8.975882,-4.217936,0.379419,9.899827,3.955600,-0.563740,0.923945,-0.262336,0.987872,0.000288,-0.009298,-0.010321,-0.045742,-0.005411,-0.013995,-0.007342
3574066970.319199,-0.943213,-8.976063,-4.217934,0.379419,9.899850,3.955611,-0.563794,0.923787,-0.262324,0.987875,0.000288,-0.009298,-0.010314,-0.045744,-0.005410,-0.013995,-0.007341
3574066970.329201,-0.943270,-8.976220,-4.217863,0.379419,9.899873,3.955622,-0.563851,0.923653,-0.262242,0.987878,0.000288,-0.009300,-0.010328,-0.045687,-0.005413,-0.013998,-0.007332
3574066970.339199,-0.943324,-8.976401,-4.217862,0.379419,9.899897,3.955633,-0.563905,0.923496,-0.262229,0.987880,0.000288,-0.009300,-0.010324,-0.045688,-0.005413,-0.013998,-0.007331
3574066970.349200,-0.943380,-8.976559,-4.217792,0.379420,9.899920,3.955644,-0.563960,0.923361,-0.262148,0.987883,0.000288,-0.009300,-0.010337,-0.045632,-0.005415,-0.014002,-0.007321
3574066970.359199,-0.943434,-8.976740,-4.217790,0.379420,9.899944,3.955655,-0.564014,0.923204,-0.262135,0.987886,0.000288,-0.009300,-0.010333,-0.045633,-0.005415,-0.014002,-0.007320
3574066970.369202,-0.943488,-8.976898,-4.217719,0.379420,9.899967,3.955666,-0.564068,0.923069,-0.262053,0.987889,0.000288,-0.009300,-0.010347,-0.045577,-0.005416,-0.014005,-0.007311
3574066970.379200,-0.943543,-8.977079,-4.217717,0.379420,9.899991,3.955677,-0.564122,0.922912,-0.262040,0.987892,0.000288,-0.009300,-0.010338,-0.045579,-0.005415,-0.014005,-0.007310
3574066970.389202,-0.943601,-8.977238,-4.217647,0.379421,9.900014,3.955688,-0.564181,0.922776,-0.261959,0.987895,0.000288,-0.009304,-0.010353,-0.045523,-0.005420,-0.014009,-0.007300
3574066970.399200,-0.943656,-8.977419,-4.217645,0.379421,9.900038,3.955699,-0.564235,0.922618,-0.261946,0.987898,0.000288,-0.009304,-0.010352,-0.045523,-0.005419,-0.014009,-0.007299
3574066970.409201,-0.943710,-8.977575,-4.217574,0.379421,9.900061,3.955710,-0.564289,0.922486,-0.261864,0.987901,0.000288,-0.009303,-0.010365,-0.045467,-0.005420,-0.014012,-0.007290
3574066970.419202,-0.943764,-8.977756,-4.217572,0.379421,9.900084,3.955721,-0.564343,0.922328,-0.261851,0.987903,0.000288,-0.009303,-0.010362,-0.045467,-0.005420,-0.014012,-0.007289
