Absolute Time,z1_psi,z1_x,z1_y,eta_d_PSI,eta_d_X,eta_d_Y,eta_hat_psi,eta_hat_x,eta_hat_y,s,s_dot,bias_psi,bias_x,bias_y,nu_psi_hat, nu_x_hat, nu_y_hat
3574062597.537397,-2.776523,-0.755154,-1.102217,0.019342,2.102337,0.051332,-2.757181,1.347183,-1.050884,0.012785,0.000296,-0.775467,0.126496,-2.568455,0.023792,0.274785,-0.312257
3574062597.547397,-2.776292,-0.758865,-1.100304,0.019347,2.102360,0.051344,-2.756945,1.343496,-1.048960,0.012788,0.000296,-0.775467,0.125477,-2.568505,0.023377,0.274613,-0.312323
3574062597.557398,-2.776855,-0.753465,-1.101734,0.019352,2.102384,0.051356,-2.757503,1.348918,-1.050378,0.012791,0.000296,-0.776095,0.119648,-2.563388,0.022229,0.273142,-0.311597
3574062597.567397,-2.776639,-0.757159,-1.099823,0.019357,2.102407,0.051368,-2.757282,1.345248,-1.048455,0.012794,0.000296,-0.776095,0.118591,-2.563437,0.021803,0.272994,-0.311659
3574062597.577399,-2.777181,-0.751786,-1.101242,0.019362,2.102430,0.051380,-2.757819,1.350644,-1.049862,0.012797,0.000296,-0.776695,0.112793,-2.558339,0.020671,0.271596,-0.310932
3574062597.587399,-2.776982,-0.755464,-1.099334,0.019367,2.102454,0.051392,-2.757615,1.346989,-1.047942,0.012800,0.000296,-0.776695,0.111804,-2.558383,0.020236,0.271581,-0.310990
3574062597.597399,-2.777503,-0.750118,-1.100741,0.019372,2.102477,0.051404,-2.758131,1.352359,-1.049337,0.012803,0.000296,-0.777265,0.106034,-2.553306,0.019121,0.270279,-0.310263
3574062597.607398,-2.777319,-0.753783,-1.098835,0.019377,2.102500,0.051416,-2.757942,1.348717,-1.047420,0.012806,0.000296,-0.777265,0.105415,-2.553331,0.018678,0.270422,-0.310317
3574062597.617400,-2.777828,-0.748468,-1.100227,0.019382,2.102524,0.051428,-2.758447,1.354056,-1.048799,0.012809,0.000296,-0.777814,0.099673,-2.548279,0.017582,0.269284,-0.309607
3574062597.627398,-2.777660,-0.752122,-1.098325,0.019387,2.102547,0.051439,-2.758273,1.350425,-1.046885,0.012812,0.000296,-0.777814,0.099107,-2.548301,0.017137,0.269591,-0.309674
3574062597.637400,-2.778157,-0.746845,-1.099700,0.019392,2.102570,0.051451,-2.758765,1.355726,-1.048249,0.012815,0.000296,-0.778340,0.093395,-2.543277,0.016059,0.268623,-0.308964
3574062597.647399,-2.778004,-0.750491,-1.097803,0.019397,2.102594,0.051463,-2.758607,1.352103,-1.046340,0.012818,0.000296,-0.778340,0.092342,-2.543315,0.015619,0.268934,-0.309065
3574062597.657401,-2.778479,-0.745244,-1.099166,0.019402,2.102617,0.051475,-2.759077,1.357373,-1.047691,0.012821,0.000296,-0.778837,0.086655,-2.538312,0.014575,0.268110,-0.308393
3574062597.667399,-2.778340,-0.748885,-1.097274,0.019407,2.102640,0.051487,-2.758933,1.353755,-1.045787,0.012824,0.000296,-0.778837,0.085876,-2.538338,0.014135,0.268559,-0.308489
3574062597.677402,-2.778799,-0.743677,-1.098620,0.019412,2.102664,0.051499,-2.759387,1.358987,-1.047121,0.012827,0.000296,-0.779309,0.080216,-2.533362,0.013122,0.267745,-0.307855
3574062597.687401,-2.778675,-0.747313,-1.096732,0.019417,2.102687,0.051511,-2.759258,1.355374,-1.045221,0.012830,0.000296,-0.779309,0.079403,-2.533387,0.012693,0.268197,-0.307993
3574062597.697402,-2.779116,-0.742135,-1.098063,0.019422,2.102711,0.051523,-2.759694,1.360576,-1.046540,0.012833,0.000296,-0.779756,0.073765,-2.528434,0.011706,0.267391,-0.307366
3574062597.707400,-2.779006,-0.745767,-1.096180,0.019427,2.102734,0.051535,-2.759579,1.356967,-1.044645,0.012836,0.000296,-0.779756,0.072849,-2.528461,0.011278,0.267846,-0.307500
3574062597.717402,-2.779428,-0.740612,-1.097495,0.019432,2.102757,0.051547,-2.759996,1.362146,-1.045948,0.012839,0.000296,-0.780175,0.067228,-2.523529,0.010317,0.267046,-0.306873
3574062597.727402,-2.779332,-0.744239,-1.095616,0.019437,2.102781,0.051559,-2.759895,1.358541,-1.044058,0.012842,0.000296,-0.780175,0.066204,-2.523556,0.009890,0.267503,-0.307002
3574062597.737402,-2.779731,-0.739109,-1.096915,0.019442,2.102804,0.051571,-2.760290,1.363695,-1.045344,0.012845,0.000296,-0.780566,0.060600,-2.518646,0.008957,0.266710,-0.306375
3574062597.747402,-2.779649,-0.742732,-1.095041,0.019447,2.102827,0.051583,-2.760202,1.360095,-1.043459,0.012847,0.000296,-0.780566,0.059419,-2.518674,0.008530,0.267170,-0.306499
3574062597.757402,-2.780024,-0.737632,-1.096326,0.019452,2.102851,0.051594,-2.760572,1.365218,-1.044732,0.012850,0.000296,-0.780927,0.053837,-2.513786,0.007627,0.266384,-0.305872
3574062597.767402,-2.779955,-0.741252,-1.094458,0.019457,2.102874,0.051606,-2.760498,1.361622,-1.042851,0.012853,0.000296,-0.780927,0.053365,-2.513796,0.007202,0.266847,-0.305997
3574062597.777403,-2.780319,-0.736170,-1.095723,0.019462,2.102898,0.051618,-2.760857,1.366728,-1.044105,0.012856,0.000297,-0.781269,0.047793,-2.508930,0.006318,0.266066,-0.305374
3574062597.787403,-2.780263,-0.739785,-1.093859,0.019467,2.102921,0.051630,-2.760796,1.363136,-1.042229,0.012859,0.000297,-0.781269,0.046426,-2.508956,0.005894,0.266531,-0.305495
3574062597.797402,-2.780599,-0.734721,-1.095106,0.019472,2.102944,0.051642,-2.761127,1.368223,-1.043464,0.012862,0.000297,-0.781577,0.040866,-2.504111,0.005042,0.265755,-0.304872
3574062597.807403,-2.780555,-0.738332,-1.093247,0.019477,2.102968,0.051654,-2.761079,1.364635,-1.041593,0.012865,0.000297,-0.781577,0.040111,-2.504124,0.004619,0.266222,-0.304989
3574062597.817406,-2.780875,-0.733288,-1.094477,0.019482,2.102991,0.051666,-2.761393,1.369703,-1.042811,0.012868,0.000297,-0.781862,0.034564,-2.499300,0.003789,0.265450,-0.304366
3574062597.827404,-2.780844,-0.736895,-1.092623,0.019487,2.103015,0.051678,-2.761357,1.366120,-1.040945,0.012871,0.000297,-0.781862,0.033622,-2.499313,0.003367,0.265919,-0.304480
3574062597.837404,-2.781144,-0.731861,-1.093833,0.019492,2.103038,0.051690,-2.761652,1.371177,-1.042143,0.012874,0.000297,-0.782122,0.028081,-2.494511,0.002563,0.265151,-0.303857
3574062597.847404,-2.781125,-0.735465,-1.091984,0.019497,2.103061,0.051702,-2.761629,1.367597,-1.040282,0.012877,0.000297,-0.782122,0.027418,-2.494518,0.002141,0.265622,-0.303967
3574062597.857406,-2.781411,-0.730446,-1.093173,0.019502,2.103085,0.051714,-2.761909,1.372638,-1.041459,0.012880,0.000297,-0.782360,0.021886,-2.489739,0.001357,0.264858,-0.303345
3574062597.867403,-2.781404,-0.734046,-1.091329,0.019507,2.103108,0.051726,-2.761898,1.369063,-1.039603,0.012883,0.000297,-0.782360,0.020781,-2.489749,0.000936,0.265331,-0.303452
3574062597.877406,-2.781666,-0.729047,-1.092502,0.019512,2.103132,0.051738,-2.762155,1.374085,-1.040764,0.012886,0.000297,-0.782570,0.015261,-2.484990,0.000179,0.264572,-0.302831
