u_BT,u_VSP1,Absolute Time
0.000000,0.000000,3568943999.929728
0.000000,0.000000,3568943999.939728
0.000000,0.000000,3568943999.949727
0.000000,0.000000,3568943999.959728
0.000000,0.000000,3568943999.969727
0.000000,0.000000,3568943999.979727
0.000000,0.000000,3568943999.989729
0.000000,0.000000,3568943999.999731
0.000000,0.000000,3568944000.009724
0.000000,0.000000,3568944000.019729
0.000000,0.000000,3568944000.029730
0.000000,0.000000,3568944000.039731
0.000000,0.000000,3568944000.049730
0.000000,0.000000,3568944000.059731
0.000000,0.000000,3568944000.069730
0.000000,0.000000,3568944000.079730
0.000000,0.000000,3568944000.089731
0.000000,0.000000,3568944000.099731
0.000000,0.000000,3568944000.109727
0.000000,0.000000,3568944000.119733
0.000000,0.000000,3568944000.129733
0.000000,0.000000,3568944000.139733
0.000000,0.000000,3568944000.149733
0.000000,0.000000,3568944000.159732
0.000000,0.000000,3568944000.169734
0.000000,0.000000,3568944000.179735
0.000000,0.000000,3568944000.189734
0.000000,0.000000,3568944000.199734
0.000000,0.000000,3568944000.209730
0.000000,0.000000,3568944000.219735
0.000000,0.000000,3568944000.229735
0.000000,0.000000,3568944000.239737
0.000000,0.000000,3568944000.249735
0.000000,0.000000,3568944000.259736
0.000000,0.000000,3568944000.269734
0.000000,0.000000,3568944000.279737
0.000000,0.000000,3568944000.289737
0.000000,0.000000,3568944000.299738
0.000000,0.000000,3568944000.309732
0.000000,0.000000,3568944000.319738
0.000000,0.000000,3568944000.329738
0.000000,0.000000,3568944000.339738
0.000000,0.000000,3568944000.349739
0.000000,0.000000,3568944000.359739
0.000000,0.000000,3568944000.369738
0.000000,0.000000,3568944000.379739
0.000000,0.000000,3568944000.389740
0.000000,0.000000,3568944000.399740
0.000000,0.000000,3568944000.409736
0.000000,0.000000,3568944000.419742
0.000000,0.000000,3568944000.429740
0.000000,0.000000,3568944000.439742
0.000000,0.000000,3568944000.449741
0.000000,0.000000,3568944000.459742
0.000000,0.000000,3568944000.469741
0.000000,0.000000,3568944000.479743
