u_in,u_hat, u_tilde,Absolute Time
0.574793,0.576653,-0.001873,3571913518.869376
0.574806,0.576661,-0.001868,3571913518.879372
0.574818,0.576669,-0.001864,3571913518.889376
0.574831,0.704349,-0.129531,3571913518.899378
0.574843,0.576248,-0.001418,3571913518.909375
0.574856,0.576257,-0.001414,3571913518.919378
0.574868,0.576266,-0.001411,3571913518.929378
0.574880,0.576276,-0.001407,3571913518.939379
0.574893,0.576285,-0.001404,3571913518.949378
0.574905,0.576294,-0.001401,3571913518.959379
0.574918,0.576303,-0.001397,3571913518.969378
0.574930,0.576312,-0.001394,3571913518.979375
0.574942,0.576321,-0.001391,3571913518.989380
0.574954,0.576330,-0.001387,3571913518.999380
0.574967,0.576339,-0.001384,3571913519.009380
0.574979,0.576347,-0.001381,3571913519.019380
0.574991,0.576356,-0.001378,3571913519.029381
0.575003,0.576365,-0.001374,3571913519.039382
0.575015,0.576374,-0.001371,3571913519.049381
0.575027,0.576383,-0.001368,3571913519.059381
0.575039,0.576392,-0.001364,3571913519.069382
0.575051,0.576400,-0.001361,3571913519.079378
0.575063,0.576409,-0.001358,3571913519.089383
0.575075,0.486887,0.088176,3571913519.099383
0.575087,0.576560,-0.001485,3571913519.109383
0.575099,0.576568,-0.001481,3571913519.119383
0.575111,0.576577,-0.001478,3571913519.129384
0.575123,0.576585,-0.001474,3571913519.139384
0.575135,0.576593,-0.001471,3571913519.149384
0.575146,0.576602,-0.001467,3571913519.159385
0.575158,0.576610,-0.001463,3571913519.169385
0.575170,0.576618,-0.001460,3571913519.179382
0.575182,0.576626,-0.001457,3571913519.189384
0.575193,0.576635,-0.001453,3571913519.199385
0.575205,0.576643,-0.001450,3571913519.209385
0.575216,0.576651,-0.001446,3571913519.219386
0.575228,0.576659,-0.001443,3571913519.229387
0.575240,0.576667,-0.001439,3571913519.239388
0.575251,0.576675,-0.001436,3571913519.249387
0.575263,0.576684,-0.001432,3571913519.259387
0.575274,0.576692,-0.001429,3571913519.269387
0.575286,0.576700,-0.001425,3571913519.279384
0.575297,0.576708,-0.001422,3571913519.289389
0.575308,0.432089,0.143208,3571913519.299390
0.575320,0.576998,-0.001689,3571913519.309388
0.575331,0.577005,-0.001685,3571913519.319389
0.575342,0.577013,-0.001681,3571913519.329389
0.575354,0.577020,-0.001677,3571913519.339390
0.575365,0.577027,-0.001673,3571913519.349391
0.575376,0.577034,-0.001669,3571913519.359390
