Absolute Time,tau_d_psi,tau_d_x,tau_d_y,z1_psi,z1_x,z1_y,eta_d_PSI,eta_d_X,eta_d_Y,eta_hat_psi,eta_hat_x,eta_hat_y,s,s_dot
3573962040.432238,0.004275,0.000188,0.033834,0.003178,0.001884,0.001236,0.010255,2.046596,0.023327,0.013433,2.048480,0.024563,0.005826,0.000060
3573962040.442245,0.004204,0.000188,0.033719,0.003223,0.001883,0.001234,0.010256,2.046601,0.023329,0.013479,2.048484,0.024563,0.005827,0.000060
3573962040.452244,0.004133,0.000189,0.033602,0.003269,0.001882,0.001232,0.010257,2.046606,0.023332,0.013526,2.048488,0.024563,0.005827,0.000060
3573962040.462244,0.004062,0.000190,0.033485,0.003314,0.001882,0.001230,0.010258,2.046610,0.023334,0.013572,2.048492,0.024564,0.005828,0.000060
3573962040.472243,0.003991,0.000191,0.033367,0.003359,0.001881,0.001228,0.010259,2.046615,0.023336,0.013618,2.048497,0.024564,0.005828,0.000060
3573962040.482245,0.003920,0.000191,0.033248,0.003403,0.001881,0.001226,0.010261,2.046620,0.023339,0.013664,2.048501,0.024565,0.005829,0.000060
3573962040.492244,0.003849,0.000192,0.033127,0.003448,0.001880,0.001224,0.010262,2.046625,0.023341,0.013710,2.048505,0.024565,0.005830,0.000060
3573962040.502246,0.003778,0.000193,0.033006,0.003492,0.001880,0.001222,0.010263,2.046630,0.023344,0.013755,2.048509,0.024565,0.005830,0.000060
3573962040.512246,0.003707,0.000194,0.032884,0.003537,0.001879,0.001220,0.010264,2.046634,0.023346,0.013801,2.048513,0.024566,0.005831,0.000060
3573962040.522246,0.003636,0.000195,0.032760,0.003581,0.001878,0.001218,0.010265,2.046639,0.023348,0.013846,2.048518,0.024566,0.005831,0.000060
3573962040.532243,0.003564,0.000195,0.032636,0.003625,0.001878,0.001216,0.010266,2.046644,0.023351,0.013891,2.048522,0.024567,0.005832,0.000060
3573962040.542248,0.003493,0.000196,0.032511,0.003668,0.001877,0.001214,0.010267,2.046649,0.023353,0.013936,2.048526,0.024567,0.005833,0.000060
3573962040.552246,0.003421,0.000197,0.032384,0.003712,0.001877,0.001212,0.010268,2.046653,0.023355,0.013980,2.048530,0.024568,0.005833,0.000060
3573962040.562248,0.003350,0.000198,0.032257,0.003755,0.001876,0.001210,0.010270,2.046658,0.023358,0.014025,2.048534,0.024568,0.005834,0.000060
3573962040.572246,0.003278,0.000198,0.032129,0.003799,0.001876,0.001208,0.010271,2.046663,0.023360,0.014069,2.048539,0.024569,0.005834,0.000060
3573962040.582249,0.003207,0.000199,0.031999,0.003842,0.001875,0.001206,0.010272,2.046668,0.023363,0.014114,2.048543,0.024569,0.005835,0.000060
3573962040.592250,0.003135,0.000200,0.031869,0.003885,0.001874,0.001205,0.010273,2.046672,0.023365,0.014158,2.048547,0.024570,0.005836,0.000060
3573962040.602249,0.003064,0.000201,0.031738,0.003927,0.001874,0.001203,0.010274,2.046677,0.023367,0.014201,2.048551,0.024570,0.005836,0.000060
3573962040.612248,0.002992,0.000201,0.031606,0.003970,0.001873,0.001201,0.010275,2.046682,0.023370,0.014245,2.048555,0.024571,0.005837,0.000060
3573962040.622250,0.002920,0.000202,0.031472,0.004012,0.001873,0.001199,0.010276,2.046687,0.023372,0.014288,2.048559,0.024571,0.005837,0.000060
3573962040.632246,0.002849,0.000203,0.031338,0.004054,0.001872,0.001197,0.010278,2.046692,0.023375,0.014332,2.048564,0.024572,0.005838,0.000060
