Absolute Time,tau_d_psi,tau_d_x,tau_d_y,z1_psi,z1_x,z1_y,eta_d_PSI,eta_d_X,eta_d_Y,eta_hat_psi,eta_hat_x,eta_hat_y,s,s_dot,nu_psi_hat, nu_x_hat, nu_y_hat
3573965793.910951,0.033452,0.346947,0.265799,-0.019385,0.006652,-0.008383,0.087558,2.758797,0.401512,0.068173,2.765449,0.393129,0.096021,0.010426,0.001824,0.085353,0.037864
3573965793.920952,0.033571,0.347915,0.266493,-0.019416,0.006654,-0.008422,0.087609,2.759611,0.401966,0.068193,2.766265,0.393544,0.096126,0.010447,0.001826,0.085526,0.037941
3573965793.930953,0.033689,0.348886,0.267190,-0.019447,0.006656,-0.008461,0.087659,2.760427,0.402421,0.068212,2.767082,0.393961,0.096230,0.010468,0.001828,0.085699,0.038018
3573965793.940952,0.033809,0.349861,0.267890,-0.019478,0.006657,-0.008499,0.087710,2.761244,0.402877,0.068232,2.767901,0.394378,0.096335,0.010489,0.001829,0.085873,0.038096
3573965793.950951,0.033929,0.350840,0.268592,-0.019508,0.006659,-0.008538,0.087760,2.762063,0.403334,0.068252,2.768722,0.394796,0.096440,0.010510,0.001831,0.086047,0.038174
3573965793.960953,0.034050,0.351822,0.269297,-0.019539,0.006661,-0.008577,0.087811,2.762883,0.403792,0.068271,2.769545,0.395216,0.096545,0.010531,0.001832,0.086221,0.038252
3573965793.970953,0.034171,0.352808,0.270005,-0.019570,0.006663,-0.008615,0.087861,2.763706,0.404251,0.068291,2.770369,0.395636,0.096651,0.010552,0.001834,0.086396,0.038330
3573965793.980953,0.034292,0.353798,0.270715,-0.019601,0.006665,-0.008654,0.087912,2.764530,0.404711,0.068311,2.771195,0.396057,0.096756,0.010573,0.001836,0.086572,0.038408
3573965793.990953,0.034415,0.354792,0.271427,-0.019632,0.006667,-0.008693,0.087963,2.765355,0.405172,0.068331,2.772022,0.396478,0.096862,0.010594,0.001837,0.086748,0.038487
3573965794.000954,0.034537,0.355789,0.272142,-0.019663,0.006669,-0.008732,0.088013,2.766182,0.405633,0.068350,2.772851,0.396901,0.096968,0.010616,0.001839,0.086925,0.038566
