Absolute Time,z1_psi,z1_x,z1_y,eta_d_PSI,eta_d_X,eta_d_Y,eta_hat_psi,eta_hat_x,eta_hat_y,s,s_dot,bias_psi,bias_x,bias_y,nu_psi_hat, nu_x_hat, nu_y_hat
3574062046.814062,0.510732,-6.409273,-2.754685,0.378663,9.833323,3.924968,0.889394,3.424050,1.170283,0.979740,0.000405,-0.053405,-0.259028,-0.379110,-0.041831,-0.034248,-0.197752
3574062046.824062,0.510313,-6.407839,-2.756069,0.378663,9.833356,3.924983,0.888976,3.425518,1.168914,0.979744,0.000404,-0.053405,-0.259028,-0.379110,-0.041892,-0.034266,-0.197834
3574062046.834061,0.509893,-6.406403,-2.757454,0.378663,9.833389,3.924998,0.888557,3.426986,1.167544,0.979748,0.000404,-0.053405,-0.259028,-0.379110,-0.041952,-0.034284,-0.197915
3574062046.844063,0.509473,-6.404967,-2.758839,0.378664,9.833423,3.925013,0.888137,3.428455,1.166174,0.979752,0.000404,-0.053405,-0.259028,-0.379110,-0.042011,-0.034302,-0.197996
3574062046.854061,0.509052,-6.403531,-2.760225,0.378664,9.833456,3.925028,0.887716,3.429925,1.164803,0.979756,0.000404,-0.053405,-0.259028,-0.379110,-0.042071,-0.034320,-0.198076
3574062046.864064,0.508631,-6.402094,-2.761611,0.378665,9.833489,3.925043,0.887295,3.431395,1.163431,0.979760,0.000404,-0.053405,-0.259028,-0.379110,-0.042131,-0.034337,-0.198156
3574062046.874062,0.508209,-6.400656,-2.762998,0.378665,9.833522,3.925058,0.886874,3.432866,1.162059,0.979764,0.000404,-0.053405,-0.259028,-0.379110,-0.042190,-0.034354,-0.198235
3574062046.884063,0.507786,-6.399218,-2.764386,0.378666,9.833556,3.925073,0.886451,3.434337,1.160687,0.979768,0.000404,-0.053405,-0.259028,-0.379110,-0.042249,-0.034371,-0.198314
3574062046.894063,0.507363,-6.397779,-2.765774,0.378666,9.833589,3.925088,0.886029,3.435809,1.159313,0.979772,0.000404,-0.053405,-0.259028,-0.379110,-0.042308,-0.034388,-0.198393
3574062046.904061,0.506939,-6.396340,-2.767163,0.378666,9.833622,3.925103,0.885605,3.437282,1.157940,0.979776,0.000404,-0.053405,-0.259028,-0.379110,-0.042367,-0.034404,-0.198470
3574062046.914061,0.506515,-6.394900,-2.768552,0.378667,9.833655,3.925118,0.885181,3.438755,1.156565,0.979780,0.000404,-0.053405,-0.259028,-0.379110,-0.042426,-0.034420,-0.198548
3574062046.924061,0.506090,-6.393460,-2.769942,0.378667,9.833688,3.925133,0.884757,3.440229,1.155190,0.979784,0.000404,-0.053405,-0.259028,-0.379110,-0.042484,-0.034436,-0.198625
3574062046.934062,0.505664,-6.392019,-2.771333,0.378668,9.833722,3.925147,0.884332,3.441703,1.153815,0.979788,0.000404,-0.053405,-0.259028,-0.379110,-0.042543,-0.034452,-0.198701
3574062046.944061,0.505238,-6.390577,-2.772724,0.378668,9.833755,3.925162,0.883906,3.443178,1.152439,0.979792,0.000404,-0.053405,-0.259028,-0.379110,-0.042601,-0.034467,-0.198777
3574062046.954061,0.504811,-6.389135,-2.774115,0.378668,9.833788,3.925177,0.883480,3.444653,1.151062,0.979796,0.000404,-0.053405,-0.259028,-0.379110,-0.042659,-0.034482,-0.198852
3574062046.964063,0.504384,-6.387692,-2.775507,0.378669,9.833821,3.925192,0.883053,3.446129,1.149685,0.979800,0.000403,-0.053405,-0.259028,-0.379110,-0.042717,-0.034497,-0.198927
3574062046.974061,0.503956,-6.386249,-2.776900,0.378669,9.833854,3.925207,0.882625,3.447605,1.148307,0.979804,0.000403,-0.053405,-0.259028,-0.379110,-0.042775,-0.034512,-0.199002
3574062046.984065,0.503528,-6.384805,-2.778293,0.378670,9.833888,3.925222,0.882197,3.449082,1.146929,0.979808,0.000403,-0.053405,-0.259028,-0.379110,-0.042832,-0.034527,-0.199076
3574062046.994063,0.503098,-6.383361,-2.779687,0.378670,9.833921,3.925237,0.881769,3.450560,1.145550,0.979812,0.000403,-0.053405,-0.259028,-0.379110,-0.042890,-0.034541,-0.199149
3574062047.004064,0.502669,-6.381916,-2.781081,0.378671,9.833954,3.925252,0.881339,3.452038,1.144171,0.979816,0.000403,-0.053405,-0.259028,-0.379110,-0.042947,-0.034555,-0.199222
3574062047.014062,0.502239,-6.380471,-2.782475,0.378671,9.833987,3.925267,0.880910,3.453517,1.142792,0.979820,0.000403,-0.053405,-0.259028,-0.379110,-0.043004,-0.034569,-0.199295
3574062047.024067,0.501808,-6.379025,-2.783871,0.378671,9.834020,3.925282,0.880479,3.454996,1.141411,0.979825,0.000403,-0.053405,-0.259028,-0.379110,-0.043061,-0.034583,-0.199367
3574062047.034066,0.501377,-6.377578,-2.785266,0.378672,9.834053,3.925297,0.880048,3.456475,1.140031,0.979829,0.000403,-0.053405,-0.259028,-0.379110,-0.043118,-0.034596,-0.199439
3574062047.044067,0.500945,-6.376131,-2.786663,0.378672,9.834087,3.925312,0.879617,3.457955,1.138649,0.979833,0.000403,-0.053405,-0.259028,-0.379110,-0.043175,-0.034609,-0.199510
3574062047.054067,0.500512,-6.374684,-2.788059,0.378673,9.834120,3.925327,0.879185,3.459436,1.137267,0.979837,0.000403,-0.053405,-0.259028,-0.379110,-0.043231,-0.034622,-0.199581
3574062047.064067,0.500079,-6.373235,-2.789456,0.378673,9.834153,3.925342,0.878752,3.460917,1.135885,0.979841,0.000403,-0.053405,-0.259028,-0.379110,-0.043287,-0.034635,-0.199651
3574062047.074065,0.499646,-6.371787,-2.790854,0.378674,9.834186,3.925357,0.878319,3.462399,1.134502,0.979845,0.000403,-0.053405,-0.259028,-0.379110,-0.043343,-0.034648,-0.199721
3574062047.084067,0.499212,-6.370338,-2.792252,0.378674,9.834219,3.925371,0.877886,3.463881,1.133119,0.979849,0.000403,-0.053405,-0.259028,-0.379110,-0.043399,-0.034660,-0.199791
3574062047.094065,0.498777,-6.368888,-2.793651,0.378674,9.834252,3.925386,0.877451,3.465364,1.131736,0.979853,0.000403,-0.053405,-0.259028,-0.379110,-0.043455,-0.034672,-0.199860
3574062047.104067,0.498342,-6.367438,-2.795050,0.378675,9.834285,3.925401,0.877016,3.466847,1.130351,0.979857,0.000402,-0.053405,-0.259028,-0.379110,-0.043511,-0.034684,-0.199928
3574062047.114069,0.497906,-6.365987,-2.796450,0.378675,9.834318,3.925416,0.876581,3.468331,1.128967,0.979861,0.000402,-0.053405,-0.259028,-0.379110,-0.043566,-0.034696,-0.199996
3574062047.124067,0.497469,-6.364536,-2.797850,0.378676,9.834351,3.925431,0.876145,3.469815,1.127582,0.979865,0.000402,-0.053405,-0.259028,-0.379110,-0.043621,-0.034708,-0.200064
3574062047.134067,0.497033,-6.363084,-2.799250,0.378676,9.834385,3.925446,0.875709,3.471300,1.126196,0.979869,0.000402,-0.053405,-0.259028,-0.379110,-0.043676,-0.034719,-0.200131
3574062047.144069,0.496595,-6.361632,-2.800651,0.378676,9.834418,3.925461,0.875272,3.472785,1.124810,0.979873,0.000402,-0.053405,-0.259028,-0.379110,-0.043731,-0.034730,-0.200198
3574062047.154069,0.496157,-6.360180,-2.802052,0.378677,9.834451,3.925476,0.874834,3.474271,1.123423,0.979877,0.000402,-0.053405,-0.259028,-0.379110,-0.043786,-0.034741,-0.200265
3574062047.164068,0.495719,-6.358726,-2.803454,0.378677,9.834484,3.925491,0.874396,3.475757,1.122036,0.979881,0.000402,-0.053405,-0.259028,-0.379110,-0.043841,-0.034751,-0.200331
3574062047.174067,0.495279,-6.357273,-2.804857,0.378678,9.834517,3.925506,0.873957,3.477244,1.120649,0.979885,0.000402,-0.053405,-0.259028,-0.379110,-0.043895,-0.034762,-0.200396
3574062047.184069,0.494840,-6.355819,-2.806259,0.378678,9.834550,3.925521,0.873518,3.478731,1.119261,0.979889,0.000402,-0.053405,-0.259028,-0.379110,-0.043949,-0.034772,-0.200461
3574062047.194068,0.494400,-6.354364,-2.807663,0.378679,9.834583,3.925535,0.873078,3.480219,1.117873,0.979893,0.000402,-0.053405,-0.259028,-0.379110,-0.044003,-0.034782,-0.200526
3574062047.204070,0.493959,-6.352909,-2.809066,0.378679,9.834616,3.925550,0.872638,3.481707,1.116484,0.979897,0.000402,-0.053405,-0.259028,-0.379110,-0.044057,-0.034792,-0.200590
3574062047.214069,0.493518,-6.351453,-2.810470,0.378679,9.834649,3.925565,0.872197,3.483196,1.115095,0.979901,0.000402,-0.053405,-0.259028,-0.379110,-0.044110,-0.034802,-0.200654
3574062047.224069,0.493076,-6.349997,-2.811875,0.378680,9.834682,3.925580,0.871756,3.484685,1.113705,0.979905,0.000402,-0.053405,-0.259028,-0.379110,-0.044164,-0.034811,-0.200717
3574062047.234070,0.492634,-6.348540,-2.813280,0.378680,9.834715,3.925595,0.871314,3.486175,1.112315,0.979909,0.000402,-0.053405,-0.259028,-0.379110,-0.044217,-0.034820,-0.200780
3574062047.244070,0.492191,-6.347083,-2.814685,0.378681,9.834748,3.925610,0.870871,3.487665,1.110925,0.979913,0.000401,-0.053405,-0.259028,-0.379110,-0.044270,-0.034829,-0.200843
3574062047.254069,0.491747,-6.345626,-2.816091,0.378681,9.834781,3.925625,0.870428,3.489156,1.109534,0.979917,0.000401,-0.053405,-0.259028,-0.379110,-0.044323,-0.034838,-0.200905
3574062047.264071,0.491303,-6.344167,-2.817497,0.378681,9.834814,3.925640,0.869985,3.490647,1.108143,0.979921,0.000401,-0.053405,-0.259028,-0.379110,-0.044376,-0.034847,-0.200967
3574062047.274069,0.490859,-6.342709,-2.818903,0.378682,9.834847,3.925654,0.869541,3.492138,1.106751,0.979925,0.000401,-0.053405,-0.259028,-0.379110,-0.044428,-0.034855,-0.201028
3574062047.284071,0.490414,-6.341250,-2.820310,0.378682,9.834880,3.925669,0.869096,3.493630,1.105359,0.979929,0.000401,-0.053405,-0.259028,-0.379110,-0.044481,-0.034863,-0.201089
3574062047.294072,0.489969,-6.339790,-2.821718,0.378683,9.834913,3.925684,0.868651,3.495123,1.103967,0.979933,0.000401,-0.053405,-0.259028,-0.379110,-0.044533,-0.034871,-0.201150
3574062047.304072,0.489523,-6.338330,-2.823125,0.378683,9.834946,3.925699,0.868206,3.496616,1.102574,0.979937,0.000401,-0.053405,-0.259028,-0.379110,-0.044585,-0.034879,-0.201210
3574062047.314071,0.489076,-6.336870,-2.824534,0.378684,9.834979,3.925714,0.867760,3.498109,1.101180,0.979941,0.000401,-0.053405,-0.259028,-0.379110,-0.044637,-0.034887,-0.201270
3574062047.324073,0.488629,-6.335409,-2.825942,0.378684,9.835012,3.925729,0.867313,3.499603,1.099787,0.979945,0.000401,-0.053405,-0.259028,-0.379110,-0.044688,-0.034894,-0.201329
3574062047.334071,0.488181,-6.333948,-2.827351,0.378684,9.835045,3.925744,0.866866,3.501097,1.098393,0.979949,0.000401,-0.053405,-0.259028,-0.379110,-0.044740,-0.034901,-0.201388
3574062047.344073,0.487733,-6.332486,-2.828760,0.378685,9.835078,3.925759,0.866418,3.502592,1.096998,0.979953,0.000401,-0.053405,-0.259028,-0.379110,-0.044791,-0.034908,-0.201447
3574062047.354075,0.487285,-6.331024,-2.830170,0.378685,9.835111,3.925773,0.865970,3.504087,1.095603,0.979957,0.000401,-0.053405,-0.259028,-0.379110,-0.044842,-0.034915,-0.201505
3574062047.364074,0.486836,-6.329561,-2.831580,0.378686,9.835144,3.925788,0.865521,3.505583,1.094208,0.979961,0.000401,-0.053405,-0.259028,-0.379110,-0.044893,-0.034922,-0.201563
