Absolute Time,z1_psi,z1_x,z1_y,eta_d_PSI,eta_d_X,eta_d_Y,eta_hat_psi,eta_hat_x,eta_hat_y,s,s_dot,bias_psi,bias_x,bias_y,nu_psi_hat, nu_x_hat, nu_y_hat,tau_d_psi,tau_d_x,tau_d_y,alpha_VSP1,alpha_VSP2,omega_VSP1,omega_VSP2,u_BT,u_VSP1,u_VSP2
3574147075.029740,0.491452,1.550308,0.383089,0.000000,0.333800,-0.000010,0.491452,1.884108,0.383079,0.066760,0.004000,0.272521,0.848630,-0.246414,0.001066,0.014807,-0.025322,-0.266655,-0.926091,0.252928,3.075151,0.129055,0.500000,0.500000,0.000000,0.952388,0.491327
3574147075.039729,0.491463,1.550358,0.382936,0.000000,0.334000,-0.000010,0.491463,1.884358,0.382926,0.066800,0.004000,0.272521,0.848627,-0.246423,0.001089,0.014755,-0.025308,-0.266651,-0.925835,0.253391,3.074953,0.129542,0.500000,0.500000,0.000000,0.951305,0.490385
3574147075.049743,0.491474,1.550407,0.382782,0.000000,0.334200,-0.000010,0.491474,1.884607,0.382772,0.066840,0.004000,0.272521,0.848625,-0.246433,0.001111,0.014703,-0.025294,-0.266647,-0.925579,0.253850,3.074757,0.130026,0.500000,0.500000,0.000000,0.950232,0.489452
3574147075.059729,0.491485,1.550456,0.382628,0.000000,0.334400,-0.000010,0.491485,1.884856,0.382619,0.066880,0.004000,0.272521,0.848622,-0.246442,0.001133,0.014651,-0.025280,-0.266643,-0.925323,0.254306,3.074561,0.130509,0.500000,0.500000,0.000000,0.949168,0.488529
3574147075.069743,0.491496,1.550504,0.382475,0.000000,0.334600,-0.000010,0.491496,1.885104,0.382465,0.066920,0.004000,0.272521,0.848619,-0.246452,0.001155,0.014599,-0.025266,-0.266640,-0.925067,0.254758,3.074367,0.130989,0.500000,0.500000,0.000000,0.948114,0.487616
3574147075.079728,0.491508,1.550552,0.382321,0.000000,0.334800,-0.000010,0.491508,1.885352,0.382311,0.066960,0.004000,0.272521,0.848616,-0.246462,0.001176,0.014547,-0.025252,-0.266637,-0.924812,0.255207,3.074174,0.131466,0.500000,0.500000,0.000000,0.947069,0.486712
3574147075.089738,0.491520,1.550599,0.382167,0.000000,0.335000,-0.000010,0.491520,1.885599,0.382157,0.067000,0.004000,0.272521,0.848613,-0.246472,0.001198,0.014496,-0.025238,-0.266635,-0.924556,0.255653,3.073982,0.131941,0.500000,0.500000,0.000000,0.946034,0.485817
3574147075.099729,0.491532,1.550645,0.382013,0.000000,0.335200,-0.000010,0.491532,1.885845,0.382003,0.067040,0.004000,0.272521,0.848610,-0.246482,0.001219,0.014445,-0.025224,-0.266633,-0.924301,0.256095,3.073791,0.132413,0.500000,0.500000,0.000000,0.945008,0.484931
3574147075.109743,0.491544,1.550692,0.381858,0.000000,0.335400,-0.000010,0.491544,1.886092,0.381849,0.067080,0.004000,0.272521,0.848607,-0.246493,0.001240,0.014394,-0.025209,-0.266632,-0.924046,0.256533,3.073602,0.132883,0.500000,0.500000,0.000000,0.943991,0.484054
3574147075.119725,0.491557,1.550737,0.381704,0.000000,0.335600,-0.000010,0.491557,1.886337,0.381694,0.067120,0.004000,0.272521,0.848604,-0.246503,0.001260,0.014343,-0.025195,-0.266631,-0.923791,0.256968,3.073413,0.133350,0.500000,0.500000,0.000000,0.942984,0.483187
