u_in,u_hat, u_tilde,Absolute Time
0.580043,0.497353,0.082690,3571913719.535245
0.580043,0.497529,0.082514,3571913719.545245
0.580043,0.497705,0.082338,3571913719.555245
0.580043,0.497880,0.082162,3571913719.565245
0.580043,0.498055,0.081987,3571913719.575245
0.580043,0.498230,0.081813,3571913719.585247
0.580043,0.498405,0.081638,3571913719.595245
0.580043,0.498579,0.081464,3571913719.605246
0.580043,0.498752,0.081291,3571913719.615246
0.580043,0.498926,0.081117,3571913719.625247
0.580043,0.499099,0.080944,3571913719.635247
0.580043,0.499272,0.080771,3571913719.645247
0.580043,0.499444,0.080599,3571913719.655247
0.580043,0.499616,0.080427,3571913719.665248
0.580043,0.499788,0.080255,3571913719.675249
0.580043,0.499959,0.080084,3571913719.685249
0.580043,0.500131,0.079912,3571913719.695249
0.580043,0.500301,0.079742,3571913719.705249
0.580043,0.500472,0.079571,3571913719.715248
0.580043,1.622635,-1.042592,3571913719.725249
0.580043,0.491430,0.088613,3571913719.735250
0.580043,0.491617,0.088426,3571913719.745251
0.580043,0.491803,0.088240,3571913719.755250
0.580043,0.491989,0.088054,3571913719.765252
0.580043,0.492175,0.087868,3571913719.775250
0.580043,0.492361,0.087682,3571913719.785252
0.580043,0.492546,0.087497,3571913719.795251
0.580043,0.492731,0.087312,3571913719.805251
0.580043,0.492915,0.087128,3571913719.815251
0.580043,0.493099,0.086944,3571913719.825253
0.580043,0.493283,0.086760,3571913719.835253
0.580043,0.493467,0.086576,3571913719.845253
0.580043,0.493650,0.086393,3571913719.855254
0.580043,0.493833,0.086210,3571913719.865254
0.580043,0.494015,0.086028,3571913719.875254
0.580043,0.494197,0.085846,3571913719.885255
0.580043,0.494379,0.085664,3571913719.895254
0.580043,0.494561,0.085482,3571913719.905255
0.580043,0.494742,0.085301,3571913719.915254
0.580043,1.717796,-1.137753,3571913719.925255
0.580043,0.484006,0.096037,3571913719.935256
0.580043,0.484206,0.095837,3571913719.945256
0.580043,0.484406,0.095637,3571913719.955257
0.580043,0.484606,0.095437,3571913719.965257
0.580043,0.484805,0.095238,3571913719.975256
0.580043,0.485003,0.095039,3571913719.985258
0.580043,0.485202,0.094841,3571913719.995258
0.580043,0.485400,0.094643,3571913720.005259
0.580043,0.485598,0.094445,3571913720.015257
0.580043,0.485795,0.094248,3571913720.025259
0.580043,0.485992,0.094051,3571913720.035259
0.580043,0.486189,0.093854,3571913720.045259
0.580043,0.486385,0.093658,3571913720.055260
0.580043,0.486581,0.093462,3571913720.065260
0.580043,0.486776,0.093266,3571913720.075260
0.580043,0.486972,0.093071,3571913720.085260
0.580043,0.487167,0.092876,3571913720.095261
0.580043,0.487361,0.092682,3571913720.105260
0.580043,0.487555,0.092488,3571913720.115260
0.580043,1.603400,-1.023357,3571913720.125262
0.580043,0.478857,0.101186,3571913720.135263
0.580043,0.479066,0.100977,3571913720.145262
0.580043,0.479275,0.100768,3571913720.155262
0.580043,0.479483,0.100560,3571913720.165263
0.580043,0.479691,0.100352,3571913720.175262
0.580043,0.479899,0.100144,3571913720.185263
0.580043,0.480107,0.099936,3571913720.195263
0.580043,0.480314,0.099729,3571913720.205264
0.580043,0.480520,0.099523,3571913720.215263
0.580043,0.480727,0.099316,3571913720.225264
0.580043,0.480933,0.099110,3571913720.235264
0.580043,0.481138,0.098905,3571913720.245265
0.580043,0.481343,0.098700,3571913720.255265
0.580043,0.481548,0.098495,3571913720.265265
0.580043,0.481753,0.098290,3571913720.275263
0.580043,0.481957,0.098086,3571913720.285267
0.580043,0.482161,0.097882,3571913720.295268
0.580043,0.482364,0.097679,3571913720.305267
0.580043,0.482567,0.097476,3571913720.315267
0.580043,-0.632967,1.213010,3571913720.325267
0.580043,0.484107,0.095936,3571913720.335268
0.580043,0.484307,0.095736,3571913720.345267
0.580043,0.484507,0.095536,3571913720.355269
0.580043,0.484706,0.095337,3571913720.365269
0.580043,0.484905,0.095138,3571913720.375268
0.580043,0.485104,0.094939,3571913720.385270
0.580043,0.485302,0.094741,3571913720.395268
0.580043,0.485500,0.094543,3571913720.405269
0.580043,0.485697,0.094346,3571913720.415269
0.580043,0.485895,0.094148,3571913720.425271
0.580043,0.486091,0.093952,3571913720.435271
0.580043,0.486288,0.093755,3571913720.445270
0.580043,0.486484,0.093559,3571913720.455271
0.580043,0.486680,0.093363,3571913720.465272
0.580043,0.486875,0.093168,3571913720.475271
0.580043,0.487070,0.092973,3571913720.485271
0.580043,0.487265,0.092778,3571913720.495272
0.580043,0.487459,0.092584,3571913720.505272
0.580043,0.487653,0.092390,3571913720.515272
0.580043,1.673797,-1.093754,3571913720.525273
0.580043,0.477730,0.102312,3571913720.535274
0.580043,0.477942,0.102101,3571913720.545274
0.580043,0.478152,0.101891,3571913720.555274
0.580043,0.478363,0.101680,3571913720.565275
0.580043,0.478573,0.101470,3571913720.575274
0.580043,0.478783,0.101260,3571913720.585275
0.580043,0.478992,0.101051,3571913720.595275
0.580043,0.479201,0.100842,3571913720.605276
0.580043,0.479410,0.100633,3571913720.615275
0.580043,0.479618,0.100425,3571913720.625275
0.580043,0.479826,0.100217,3571913720.635277
0.580043,0.480033,0.100010,3571913720.645277
0.580043,0.480240,0.099803,3571913720.655277
0.580043,0.480447,0.099596,3571913720.665277
0.580043,0.480654,0.099389,3571913720.675277
0.580043,0.480860,0.099183,3571913720.685279
0.580043,0.481065,0.098978,3571913720.695279
0.580043,0.481271,0.098772,3571913720.705278
0.580043,0.481476,0.098567,3571913720.715279
0.580043,1.628537,-1.048494,3571913720.725279
0.580043,0.472362,0.107681,3571913720.735279
0.580043,0.472583,0.107460,3571913720.745280
0.580043,0.472803,0.107240,3571913720.755280
0.580043,0.473022,0.107021,3571913720.765280
0.580043,0.473242,0.106801,3571913720.775280
0.580043,0.473460,0.106583,3571913720.785281
0.580043,0.473679,0.106364,3571913720.795281
0.580043,0.473897,0.106146,3571913720.805282
0.580043,0.474115,0.105928,3571913720.815281
0.580043,0.474332,0.105711,3571913720.825282
0.580043,0.474549,0.105494,3571913720.835283
0.580043,0.474766,0.105277,3571913720.845283
0.580043,0.474982,0.105061,3571913720.855283
0.580043,0.475198,0.104845,3571913720.865283
0.580043,0.475414,0.104629,3571913720.875283
0.580043,0.475629,0.104414,3571913720.885284
0.580043,0.475844,0.104199,3571913720.895283
0.580043,0.476058,0.103985,3571913720.905285
0.580043,0.476272,0.103771,3571913720.915283
0.580043,1.552025,-0.971982,3571913720.925285
0.580043,0.468426,0.111617,3571913720.935286
0.580043,0.468653,0.111389,3571913720.945285
0.580043,0.468880,0.111163,3571913720.955286
0.580043,0.469106,0.110937,3571913720.965286
0.580043,0.469332,0.110711,3571913720.975287
0.580043,0.469558,0.110485,3571913720.985287
0.580043,0.469783,0.110260,3571913720.995286
0.580043,0.470008,0.110035,3571913721.005286
0.580043,0.470232,0.109811,3571913721.015286
0.580043,0.470456,0.109587,3571913721.025288
0.580043,0.470680,0.109363,3571913721.035287
0.580043,0.470903,0.109140,3571913721.045288
0.580043,0.471126,0.108917,3571913721.055288
0.580043,0.471348,0.108695,3571913721.065289
0.580043,0.471570,0.108473,3571913721.075290
0.580043,0.471792,0.108251,3571913721.085289
0.580043,0.472013,0.108030,3571913721.095290
0.580043,0.472234,0.107809,3571913721.105290
0.580043,0.472455,0.107588,3571913721.115289
0.580043,-0.617878,1.197921,3571913721.125291
0.580043,0.473970,0.106073,3571913721.135291
0.580043,0.474188,0.105855,3571913721.145292
0.580043,0.474405,0.105638,3571913721.155292
0.580043,0.474622,0.105421,3571913721.165292
0.580043,0.474839,0.105204,3571913721.175292
0.580043,0.475055,0.104988,3571913721.185293
0.580043,0.475270,0.104773,3571913721.195292
0.580043,0.475486,0.104557,3571913721.205293
0.580043,0.475701,0.104342,3571913721.215292
0.580043,0.475916,0.104127,3571913721.225294
0.580043,0.476130,0.103913,3571913721.235294
0.580043,0.476344,0.103699,3571913721.245294
0.580043,0.476557,0.103486,3571913721.255295
0.580043,0.476771,0.103272,3571913721.265295
0.580043,0.476983,0.103060,3571913721.275294
0.580043,0.477196,0.102847,3571913721.285296
0.580043,0.477408,0.102635,3571913721.295295
0.580043,0.477620,0.102423,3571913721.305296
0.580043,0.477831,0.102212,3571913721.315297
0.580043,-0.662964,1.243007,3571913721.325297
0.580043,0.479506,0.100537,3571913721.335297
0.580043,0.479714,0.100329,3571913721.345297
0.580043,0.479922,0.100121,3571913721.355298
0.580043,0.480129,0.099914,3571913721.365298
0.580043,0.480336,0.099707,3571913721.375298
0.580043,0.480543,0.099500,3571913721.385299
0.580043,0.480749,0.099294,3571913721.395298
0.580043,0.480955,0.099088,3571913721.405298
0.580043,0.481161,0.098882,3571913721.415298
0.580043,0.481366,0.098677,3571913721.425299
0.580043,0.481571,0.098472,3571913721.435300
0.580043,0.481775,0.098268,3571913721.445300
0.580043,0.481979,0.098064,3571913721.455300
0.580043,0.482183,0.097860,3571913721.465300
0.580043,0.482386,0.097657,3571913721.475300
0.580043,0.482589,0.097454,3571913721.485302
0.580043,0.482792,0.097251,3571913721.495301
0.580043,0.482994,0.097049,3571913721.505302
0.580043,0.483196,0.096847,3571913721.515300
0.580043,-0.630784,1.210827,3571913721.525302
0.580043,0.484768,0.095275,3571913721.535302
0.580043,0.484967,0.095076,3571913721.545303
0.580043,0.485165,0.094878,3571913721.555304
0.580043,0.485363,0.094679,3571913721.565304
0.580043,0.485561,0.094482,3571913721.575304
0.580043,0.485759,0.094284,3571913721.585304
0.580043,0.485956,0.094087,3571913721.595304
0.580043,0.486152,0.093891,3571913721.605305
0.580043,0.486349,0.093694,3571913721.615304
0.580043,0.486545,0.093498,3571913721.625306
0.580043,0.486740,0.093302,3571913721.635306
0.580043,0.486936,0.093107,3571913721.645306
0.580043,0.487131,0.092912,3571913721.655307
0.580043,0.487325,0.092718,3571913721.665306
0.580043,0.487520,0.092523,3571913721.675306
0.580043,0.487714,0.092329,3571913721.685307
0.580043,0.487907,0.092136,3571913721.695308
0.580043,0.488100,0.091943,3571913721.705308
0.580043,0.488293,0.091750,3571913721.715308
0.580043,1.621821,-1.041778,3571913721.725308
0.580043,0.479289,0.100754,3571913721.735309
0.580043,0.479498,0.100545,3571913721.745309
0.580043,0.479706,0.100337,3571913721.755309
0.580043,0.479914,0.100129,3571913721.765309
0.580043,0.480121,0.099922,3571913721.775311
0.580043,0.480328,0.099715,3571913721.785310
0.580043,0.480535,0.099508,3571913721.795310
0.580043,0.480741,0.099302,3571913721.805310
0.580043,0.480947,0.099096,3571913721.815310
0.580043,0.481152,0.098890,3571913721.825313
0.580043,0.481358,0.098685,3571913721.835311
0.580043,0.481563,0.098480,3571913721.845312
0.580043,0.481767,0.098276,3571913721.855312
0.580043,0.481971,0.098072,3571913721.865313
0.580043,0.482175,0.097868,3571913721.875312
0.580043,0.482378,0.097665,3571913721.885313
0.580043,0.482581,0.097462,3571913721.895313
0.580043,0.482784,0.097259,3571913721.905313
0.580043,0.482986,0.097057,3571913721.915312
0.580043,-0.617379,1.197422,3571913721.925315
0.580043,0.484545,0.095498,3571913721.935314
0.580043,0.484744,0.095298,3571913721.945315
0.580043,0.484943,0.095100,3571913721.955315
0.580043,0.485142,0.094901,3571913721.965315
0.580043,0.485340,0.094703,3571913721.975316
0.580043,0.485538,0.094505,3571913721.985316
0.580043,0.485735,0.094308,3571913721.995317
0.580043,0.485932,0.094111,3571913722.005317
0.580043,0.486129,0.093914,3571913722.015316
0.580043,0.486326,0.093717,3571913722.025317
0.580043,0.486522,0.093521,3571913722.035317
0.580043,0.486717,0.093326,3571913722.045318
0.580043,0.486913,0.093130,3571913722.055317
0.580043,0.487108,0.092935,3571913722.065318
0.580043,0.487302,0.092741,3571913722.075318
0.580043,0.487497,0.092546,3571913722.085319
0.580043,0.487691,0.092352,3571913722.095319
0.580043,0.487884,0.092159,3571913722.105319
0.580043,0.488077,0.091965,3571913722.115317
0.580043,-0.533938,1.113981,3571913722.125320
0.580043,0.489401,0.090642,3571913722.135321
0.580043,0.489592,0.090451,3571913722.145320
0.580043,0.489782,0.090261,3571913722.155321
0.580043,0.489972,0.090071,3571913722.165322
0.580043,0.490161,0.089882,3571913722.175322
0.580043,0.490350,0.089693,3571913722.185323
0.580043,0.490539,0.089504,3571913722.195322
0.580043,0.490728,0.089315,3571913722.205322
0.580043,0.490916,0.089127,3571913722.215322
0.580043,0.491104,0.088939,3571913722.225324
0.580043,0.491291,0.088752,3571913722.235323
0.580043,0.491478,0.088565,3571913722.245323
0.580043,0.491665,0.088378,3571913722.255325
0.580043,0.491851,0.088191,3571913722.265324
0.580043,0.492038,0.088005,3571913722.275322
0.580043,0.492223,0.087820,3571913722.285326
0.580043,0.492409,0.087634,3571913722.295325
0.580043,0.492594,0.087449,3571913722.305325
0.580043,0.492779,0.087264,3571913722.315325
0.580043,-0.668792,1.248835,3571913722.325325
0.580043,0.494431,0.085612,3571913722.335327
0.580043,0.494612,0.085431,3571913722.345326
0.580043,0.494793,0.085250,3571913722.355327
0.580043,0.494974,0.085069,3571913722.365327
0.580043,0.495154,0.084889,3571913722.375327
0.580043,0.495334,0.084709,3571913722.385328
0.580043,0.495514,0.084529,3571913722.395329
0.580043,0.495693,0.084350,3571913722.405328
0.580043,0.495873,0.084170,3571913722.415326
0.580043,0.496051,0.083992,3571913722.425328
0.580043,0.496230,0.083813,3571913722.435329
0.580043,0.496408,0.083635,3571913722.445329
0.580043,0.496585,0.083457,3571913722.455330
0.580043,0.496763,0.083280,3571913722.465331
0.580043,0.496940,0.083103,3571913722.475331
0.580043,0.497117,0.082926,3571913722.485332
0.580043,0.497293,0.082750,3571913722.495330
0.580043,0.497469,0.082574,3571913722.505332
0.580043,0.497645,0.082398,3571913722.515331
0.580043,1.652360,-1.072317,3571913722.525331
0.580043,0.488159,0.091884,3571913722.535332
0.580043,0.488351,0.091692,3571913722.545332
0.580043,0.488544,0.091499,3571913722.555333
0.580043,0.488736,0.091307,3571913722.565333
0.580043,0.488928,0.091115,3571913722.575332
0.580043,0.489119,0.090924,3571913722.585333
