u_in,u_hat, u_tilde,Absolute Time
0.577025,0.550760,0.026258,3571913400.965938
0.577032,0.550827,0.026197,3571913400.975940
0.577039,0.550895,0.026137,3571913400.985939
0.577047,0.550962,0.026077,3571913400.995939
0.577054,0.551030,0.026017,3571913401.005939
0.577061,0.551097,0.025957,3571913401.015940
0.577068,0.551164,0.025897,3571913401.025940
0.577075,0.551231,0.025838,3571913401.035941
0.577083,0.551297,0.025778,3571913401.045941
0.577090,0.551364,0.025719,3571913401.055941
0.577097,0.551430,0.025659,3571913401.065941
0.577104,0.551497,0.025600,3571913401.075942
0.577111,0.551563,0.025541,3571913401.085941
0.577118,1.205295,-0.628184,3571913401.095942
0.577125,0.547904,0.029214,3571913401.105941
0.577132,0.547978,0.029147,3571913401.115944
0.577139,0.548052,0.029080,3571913401.125944
0.577146,0.548125,0.029014,3571913401.135943
0.577153,0.548199,0.028947,3571913401.145942
0.577160,0.548272,0.028881,3571913401.155944
0.577167,0.548346,0.028815,3571913401.165944
0.577174,0.548419,0.028748,3571913401.175945
0.577181,0.548491,0.028683,3571913401.185945
0.577188,0.548564,0.028617,3571913401.195944
0.577195,0.548637,0.028551,3571913401.205945
0.577202,0.548709,0.028486,3571913401.215946
0.577208,0.548781,0.028420,3571913401.225946
0.577215,0.548853,0.028355,3571913401.235946
0.577222,0.548925,0.028290,3571913401.245946
0.577229,0.548997,0.028225,3571913401.255947
0.577236,0.549069,0.028160,3571913401.265947
0.577242,0.549140,0.028095,3571913401.275945
0.577249,0.549211,0.028031,3571913401.285948
0.577256,1.616817,-1.039568,3571913401.295948
0.577263,0.539195,0.038060,3571913401.305948
0.577269,0.539288,0.037974,3571913401.315948
0.577276,0.539381,0.037888,3571913401.325950
0.577283,0.539473,0.037803,3571913401.335950
0.577289,0.539565,0.037717,3571913401.345950
0.577296,0.539657,0.037632,3571913401.355950
0.577302,0.539749,0.037547,3571913401.365950
0.577309,0.539841,0.037462,3571913401.375950
0.577316,0.539932,0.037377,3571913401.385950
0.577322,0.540024,0.037292,3571913401.395952
0.577329,0.540115,0.037208,3571913401.405951
0.577335,0.540205,0.037123,3571913401.415951
0.577342,0.540296,0.037039,3571913401.425951
0.577348,0.540387,0.036955,3571913401.435953
0.577355,0.540477,0.036872,3571913401.445952
0.577361,0.540567,0.036788,3571913401.455953
0.577368,0.540657,0.036705,3571913401.465952
0.577374,0.540746,0.036621,3571913401.475954
0.577381,0.540836,0.036538,3571913401.485955
0.577387,-0.447958,1.025339,3571913401.495953
0.577393,0.542031,0.035356,3571913401.505954
0.577400,0.542118,0.035275,3571913401.515954
0.577406,0.542205,0.035195,3571913401.525955
0.577413,0.542291,0.035115,3571913401.535955
0.577419,0.542377,0.035036,3571913401.545956
0.577425,0.542463,0.034956,3571913401.555955
0.577432,0.542549,0.034876,3571913401.565956
0.577438,0.542634,0.034797,3571913401.575956
0.577444,0.542720,0.034718,3571913401.585957
0.577450,0.542805,0.034639,3571913401.595958
0.577457,0.542890,0.034560,3571913401.605957
0.577463,0.542975,0.034482,3571913401.615957
0.577469,0.543060,0.034403,3571913401.625958
0.577475,0.543144,0.034325,3571913401.635958
0.577481,0.543229,0.034247,3571913401.645958
0.577488,0.543313,0.034169,3571913401.655958
0.577494,0.543397,0.034091,3571913401.665959
0.577500,0.543481,0.034013,3571913401.675958
0.577506,0.543564,0.033936,3571913401.685958
0.577512,-0.064474,0.641980,3571913401.695960
0.577518,0.544314,0.033198,3571913401.705959
0.577524,0.544396,0.033122,3571913401.715960
0.577530,0.544478,0.033047,3571913401.725961
0.577536,0.544559,0.032971,3571913401.735960
0.577543,0.544640,0.032896,3571913401.745961
0.577549,0.544721,0.032821,3571913401.755961
0.577555,0.544802,0.032746,3571913401.765963
0.577561,0.544883,0.032671,3571913401.775962
0.577567,0.544964,0.032597,3571913401.785962
0.577572,0.545044,0.032522,3571913401.795962
0.577578,0.545124,0.032448,3571913401.805963
0.577584,0.545204,0.032374,3571913401.815963
0.577590,0.545284,0.032300,3571913401.825964
0.577596,0.545364,0.032226,3571913401.835964
0.577602,0.545443,0.032153,3571913401.845964
0.577608,0.545523,0.032079,3571913401.855965
0.577614,0.545602,0.032006,3571913401.865965
0.577620,0.545681,0.031933,3571913401.875965
0.577626,0.545760,0.031860,3571913401.885965
0.577631,0.132926,0.444700,3571913401.895966
0.577637,0.546286,0.031345,3571913401.905966
0.577643,0.546364,0.031274,3571913401.915966
0.577649,0.546441,0.031202,3571913401.925967
0.577655,0.546518,0.031131,3571913401.935967
0.577660,0.546595,0.031059,3571913401.945966
0.577666,0.546672,0.030988,3571913401.955968
0.577672,0.546749,0.030917,3571913401.965968
0.577678,0.546825,0.030846,3571913401.975969
0.577683,0.546902,0.030776,3571913401.985969
0.577689,0.546978,0.030705,3571913401.995969
