u_in,u_hat, u_tilde,Absolute Time
0.075515,0.084608,-0.009659,3571909052.858244
0.076082,0.085160,-0.009645,3571909052.868245
0.076648,0.085713,-0.009631,3571909052.878245
0.077213,0.086265,-0.009617,3571909052.888246
0.077779,0.086817,-0.009604,3571909052.898245
0.078344,0.087369,-0.009590,3571909052.908245
0.078909,0.087921,-0.009576,3571909052.918246
0.079474,0.088472,-0.009563,3571909052.928246
0.080039,0.089023,-0.009549,3571909052.938248
0.080603,0.089574,-0.009535,3571909052.948246
0.081168,0.090125,-0.009522,3571909052.958247
0.081732,0.090676,-0.009508,3571909052.968246
0.082295,0.091226,-0.009495,3571909052.978247
0.082859,0.091776,-0.009481,3571909052.988248
0.083422,0.092326,-0.009468,3571909052.998248
0.083985,0.092876,-0.009454,3571909053.008249
0.084548,0.093426,-0.009441,3571909053.018250
0.085111,0.093975,-0.009427,3571909053.028248
0.085673,0.094524,-0.009414,3571909053.038248
0.086235,0.095073,-0.009400,3571909053.048250
0.086797,0.095622,-0.009387,3571909053.058250
0.087359,0.096170,-0.009373,3571909053.068250
0.087920,0.096719,-0.009360,3571909053.078250
0.088482,0.097267,-0.009346,3571909053.088251
0.089043,0.097815,-0.009333,3571909053.098250
0.089603,0.098362,-0.009320,3571909053.108253
0.090164,0.098910,-0.009306,3571909053.118252
0.090724,0.099457,-0.009293,3571909053.128251
0.091284,0.100004,-0.009280,3571909053.138252
0.091844,0.100551,-0.009266,3571909053.148252
0.092404,0.101097,-0.009253,3571909053.158253
0.092963,0.101644,-0.009240,3571909053.168254
0.093523,0.102190,-0.009226,3571909053.178254
0.094082,0.102736,-0.009213,3571909053.188254
0.094640,0.103282,-0.009200,3571909053.198254
0.095199,0.103827,-0.009187,3571909053.208255
0.095757,0.104372,-0.009173,3571909053.218255
0.096315,0.104917,-0.009160,3571909053.228254
0.096873,0.105462,-0.009147,3571909053.238255
0.097431,0.106007,-0.009134,3571909053.248256
0.097988,0.106551,-0.009121,3571909053.258256
0.098545,0.107096,-0.009108,3571909053.268257
0.099102,0.107640,-0.009095,3571909053.278255
0.099659,0.108183,-0.009081,3571909053.288256
0.100215,0.108727,-0.009068,3571909053.298257
0.100771,0.109270,-0.009055,3571909053.308257
0.101327,0.109814,-0.009042,3571909053.318257
