u_in,u_hat, u_tilde,Absolute Time
0.579876,0.571189,0.008687,3571910445.771916
0.579876,0.571219,0.008656,3571910445.781916
0.579876,0.571250,0.008626,3571910445.791915
0.579877,0.571280,0.008596,3571910445.801917
0.579877,0.571310,0.008566,3571910445.811917
0.579878,0.571341,0.008537,3571910445.821917
0.579878,0.571371,0.008507,3571910445.831918
0.579878,0.571401,0.008477,3571910445.841914
0.579879,0.571431,0.008448,3571910445.851917
0.579879,0.571460,0.008418,3571910445.861918
0.579880,0.571490,0.008389,3571910445.871919
0.579880,0.571520,0.008360,3571910445.881918
0.579880,0.571549,0.008331,3571910445.891918
0.579881,0.571579,0.008302,3571910445.901919
0.579881,0.571608,0.008273,3571910445.911920
0.579882,0.571637,0.008244,3571910445.921921
0.579882,0.571666,0.008215,3571910445.931921
0.579882,0.571695,0.008187,3571910445.941916
0.579883,0.571724,0.008158,3571910445.951920
0.579883,0.571753,0.008130,3571910445.961921
0.579884,0.571782,0.008101,3571910445.971922
0.579884,0.571810,0.008073,3571910445.981922
0.579884,0.571839,0.008045,3571910445.991922
0.579885,0.571867,0.008017,3571910446.001923
0.579885,0.571896,0.007989,3571910446.011922
0.579885,0.571924,0.007961,3571910446.021923
0.579886,0.571952,0.007933,3571910446.031923
0.579886,0.571980,0.007906,3571910446.041920
0.579887,0.572008,0.007878,3571910446.051924
0.579887,0.572036,0.007850,3571910446.061924
0.579887,0.572064,0.007823,3571910446.071924
0.579888,0.572092,0.007796,3571910446.081924
0.579888,0.572119,0.007769,3571910446.091925
0.579888,0.572147,0.007741,3571910446.101925
0.579889,0.572174,0.007714,3571910446.111926
0.579889,0.572201,0.007687,3571910446.121925
0.579890,0.572229,0.007661,3571910446.131926
0.579890,0.572256,0.007634,3571910446.141922
0.579890,0.572283,0.007607,3571910446.151926
0.579891,0.572310,0.007580,3571910446.161926
0.579891,0.572337,0.007554,3571910446.171927
0.579891,0.572364,0.007528,3571910446.181927
0.579892,0.572390,0.007501,3571910446.191927
0.579892,0.572417,0.007475,3571910446.201928
0.579893,0.572443,0.007449,3571910446.211928
0.579893,0.572470,0.007423,3571910446.221928
0.579893,0.572496,0.007397,3571910446.231929
0.579894,0.572522,0.007371,3571910446.241926
0.579894,0.572549,0.007345,3571910446.251928
0.579894,0.572575,0.007319,3571910446.261930
0.579895,0.572601,0.007294,3571910446.271930
0.579895,0.572627,0.007268,3571910446.281930
0.579895,0.572652,0.007243,3571910446.291931
0.579896,0.572678,0.007217,3571910446.301930
0.579896,0.572704,0.007192,3571910446.311931
0.579896,0.572729,0.007167,3571910446.321932
0.579897,0.572755,0.007142,3571910446.331932
0.579897,0.572780,0.007117,3571910446.341928
0.579898,0.572806,0.007092,3571910446.351932
0.579898,0.572831,0.007067,3571910446.361932
0.579898,0.572856,0.007042,3571910446.371933
0.579899,0.572881,0.007017,3571910446.381933
0.579899,0.572906,0.006993,3571910446.391933
0.579899,0.572931,0.006968,3571910446.401934
0.579900,0.572956,0.006944,3571910446.411934
0.579900,0.572980,0.006919,3571910446.421934
0.579900,0.573005,0.006895,3571910446.431934
0.579901,0.573030,0.006871,3571910446.441931
0.579901,0.573054,0.006847,3571910446.451934
0.579901,0.573078,0.006823,3571910446.461935
0.579902,0.573103,0.006799,3571910446.471936
0.579902,0.573127,0.006775,3571910446.481935
0.579902,0.573151,0.006751,3571910446.491935
0.579903,0.573175,0.006727,3571910446.501936
0.579903,0.573199,0.006703,3571910446.511936
0.579903,0.573223,0.006680,3571910446.521937
0.579904,0.573247,0.006656,3571910446.531937
0.579904,0.573271,0.006633,3571910446.541934
0.579904,0.573294,0.006610,3571910446.551936
0.579905,0.573318,0.006586,3571910446.561938
0.579905,0.573342,0.006563,3571910446.571939
0.579905,0.573365,0.006540,3571910446.581939
0.579906,0.573388,0.006517,3571910446.591939
0.579906,0.573412,0.006494,3571910446.601940
0.579906,0.573435,0.006471,3571910446.611939
0.579907,0.573458,0.006448,3571910446.621940
0.579907,0.573481,0.006426,3571910446.631940
0.579907,0.573504,0.006403,3571910446.641936
0.579908,0.573527,0.006380,3571910446.651940
0.579908,0.573550,0.006358,3571910446.661941
0.579908,0.573572,0.006336,3571910446.671941
0.579909,0.573595,0.006313,3571910446.681942
0.579909,0.573618,0.006291,3571910446.691944
0.579909,0.573640,0.006269,3571910446.701941
0.579910,0.573663,0.006247,3571910446.711942
0.579910,0.573685,0.006225,3571910446.721943
0.579910,0.573707,0.006203,3571910446.731943
0.579911,0.573730,0.006181,3571910446.741940
0.579911,0.573752,0.006159,3571910446.751943
0.579911,0.573774,0.006137,3571910446.761943
0.579912,0.573796,0.006115,3571910446.771944
0.579912,0.573818,0.006094,3571910446.781944
0.579912,0.573840,0.006072,3571910446.791945
0.579913,0.573861,0.006051,3571910446.801945
0.579913,0.573883,0.006029,3571910446.811945
0.579913,0.573905,0.006008,3571910446.821946
0.579914,0.573926,0.005987,3571910446.831946
0.579914,0.573948,0.005966,3571910446.841943
0.579914,0.573969,0.005945,3571910446.851946
0.579914,0.573991,0.005924,3571910446.861946
0.579915,0.574012,0.005903,3571910446.871946
0.579915,0.574033,0.005882,3571910446.881947
0.579915,0.574054,0.005861,3571910446.891947
0.579916,0.574075,0.005840,3571910446.901948
0.579916,0.574096,0.005819,3571910446.911948
0.579916,0.574117,0.005799,3571910446.921948
0.579917,0.574138,0.005778,3571910446.931948
0.579917,0.574159,0.005758,3571910446.941946
0.579917,0.574179,0.005737,3571910446.951950
0.579918,0.574200,0.005717,3571910446.961950
0.579918,0.574221,0.005697,3571910446.971950
0.579918,0.574241,0.005677,3571910446.981950
0.579918,0.574262,0.005656,3571910446.991951
0.579919,0.574282,0.005636,3571910447.001951
0.579919,0.574302,0.005616,3571910447.011950
0.579919,0.574323,0.005596,3571910447.021951
0.579920,0.574343,0.005577,3571910447.031951
0.579920,0.574363,0.005557,3571910447.041949
0.579920,0.574383,0.005537,3571910447.051952
0.579921,0.574403,0.005517,3571910447.061953
0.579921,0.574423,0.005498,3571910447.071953
0.579921,0.574443,0.005478,3571910447.081953
0.579921,0.574462,0.005459,3571910447.091953
0.579922,0.574482,0.005439,3571910447.101954
0.579922,0.574502,0.005420,3571910447.111954
0.579922,0.574521,0.005401,3571910447.121954
0.579923,0.574541,0.005382,3571910447.131954
0.579923,0.574560,0.005362,3571910447.141951
0.579923,0.574580,0.005343,3571910447.151954
0.579923,0.574599,0.005324,3571910447.161955
0.579924,0.574618,0.005305,3571910447.171956
0.579924,0.574637,0.005286,3571910447.181956
0.579924,0.574656,0.005268,3571910447.191957
0.579925,0.574675,0.005249,3571910447.201957
0.579925,0.574694,0.005230,3571910447.211957
0.579925,0.574713,0.005212,3571910447.221957
0.579925,0.574732,0.005193,3571910447.231956
0.579926,0.574751,0.005174,3571910447.241954
0.579926,0.574770,0.005156,3571910447.251960
0.579926,0.574788,0.005138,3571910447.261958
0.579927,0.574807,0.005119,3571910447.271959
0.000000,0.574231,0.005696,3571910447.281959
0.000595,-1.000000,1.000000,3571910447.291958
0.001191,-1.000000,1.000595,3571910447.301959
0.001786,-1.000000,1.001191,3571910447.311960
0.002381,-1.000000,1.001786,3571910447.321960
0.002975,-1.000000,1.002381,3571910447.331960
0.003569,-1.000000,1.002975,3571910447.341957
0.004163,-1.000000,1.003569,3571910447.351960
0.004757,-1.000000,1.004163,3571910447.361961
0.005351,-1.000000,1.004757,3571910447.371961
0.005944,-1.000000,1.005351,3571910447.381961
