u_in,u_hat, u_tilde,Absolute Time
0.047081,-1.000000,1.046730,3571911263.118037
0.047433,-1.000000,1.047081,3571911263.128038
0.047785,-1.000000,1.047433,3571911263.138038
0.048137,-1.000000,1.047785,3571911263.148038
0.048490,-1.000000,1.048137,3571911263.158038
0.048843,-1.000000,1.048490,3571911263.168038
0.049196,-1.000000,1.048843,3571911263.178037
0.049549,-1.000000,1.049196,3571911263.188039
0.049903,-1.000000,1.049549,3571911263.198040
0.050257,-1.000000,1.049903,3571911263.208040
0.050612,-1.000000,1.050257,3571911263.218041
0.050967,-1.000000,1.050612,3571911263.228040
0.051322,-1.000000,1.050967,3571911263.238040
0.051677,-1.000000,1.051322,3571911263.248041
0.052033,-1.000000,1.051677,3571911263.258039
0.052390,-1.000000,1.052033,3571911263.268042
0.052746,-1.000000,1.052390,3571911263.278041
0.053103,-1.000000,1.052746,3571911263.288041
0.053461,-1.000000,1.053103,3571911263.298041
0.053819,-1.000000,1.053461,3571911263.308042
0.054177,-1.000000,1.053819,3571911263.318043
0.054536,-1.000000,1.054177,3571911263.328044
0.054895,-1.000000,1.054536,3571911263.338045
0.055255,-1.000000,1.054895,3571911263.348044
0.055615,-1.000000,1.055255,3571911263.358045
0.055975,-1.000000,1.055615,3571911263.368045
0.056336,-1.000000,1.055975,3571911263.378045
0.056697,-1.000000,1.056336,3571911263.388045
0.057059,-1.000000,1.056697,3571911263.398046
0.057421,-1.000000,1.057059,3571911263.408045
0.057784,-1.000000,1.057421,3571911263.418044
0.058147,-1.000000,1.057784,3571911263.428046
0.058511,-1.000000,1.058147,3571911263.438046
0.058875,-1.000000,1.058511,3571911263.448046
0.059239,-1.000000,1.058875,3571911263.458045
0.059605,-1.000000,1.059239,3571911263.468047
0.059970,-1.000000,1.059605,3571911263.478046
0.060336,-1.000000,1.059970,3571911263.488049
0.060703,-1.000000,1.060336,3571911263.498049
0.061070,-1.000000,1.060703,3571911263.508048
0.061438,-1.000000,1.061070,3571911263.518048
0.061806,-1.000000,1.061438,3571911263.528049
0.062175,-1.000000,1.061806,3571911263.538050
0.062544,-1.000000,1.062175,3571911263.548049
0.062914,-1.000000,1.062544,3571911263.558048
0.063284,-1.000000,1.062914,3571911263.568049
0.063655,-1.000000,1.063284,3571911263.578051
0.064026,-1.000000,1.063655,3571911263.588050
0.064398,-1.000000,1.064026,3571911263.598049
0.064771,-1.000000,1.064398,3571911263.608051
0.065144,-1.000000,1.064771,3571911263.618051
0.065518,-1.000000,1.065144,3571911263.628052
0.065892,-1.000000,1.065518,3571911263.638051
0.066267,-1.000000,1.065892,3571911263.648052
0.066642,-1.000000,1.066267,3571911263.658051
0.067018,-1.000000,1.066642,3571911263.668051
0.067395,-1.000000,1.067018,3571911263.678053
0.067772,-1.000000,1.067395,3571911263.688053
0.068150,-1.000000,1.067772,3571911263.698052
0.068529,-1.000000,1.068150,3571911263.708053
0.068908,-1.000000,1.068529,3571911263.718051
0.069288,-1.000000,1.068908,3571911263.728055
0.069668,-1.000000,1.069288,3571911263.738053
0.070049,-1.000000,1.069668,3571911263.748055
0.070430,-1.000000,1.070049,3571911263.758054
0.070813,-1.000000,1.070430,3571911263.768054
0.071196,-1.000000,1.070813,3571911263.778052
0.071579,-1.000000,1.071196,3571911263.788055
0.071963,-1.000000,1.071579,3571911263.798055
0.072348,-1.000000,1.071963,3571911263.808056
0.072733,-1.000000,1.072348,3571911263.818056
0.073120,-1.000000,1.072733,3571911263.828057
0.073506,-1.000000,1.073120,3571911263.838055
0.073894,-1.000000,1.073506,3571911263.848056
0.074282,-1.000000,1.073894,3571911263.858057
0.074671,-1.000000,1.074282,3571911263.868058
0.075060,-1.000000,1.074671,3571911263.878058
0.075450,-1.000000,1.075060,3571911263.888057
0.075841,-1.000000,1.075450,3571911263.898056
0.076233,-1.000000,1.075841,3571911263.908058
0.076625,-1.000000,1.076233,3571911263.918058
0.077018,-1.000000,1.076625,3571911263.928059
0.077411,-1.000000,1.077018,3571911263.938061
0.077806,-1.000000,1.077411,3571911263.948061
0.078201,-1.000000,1.077806,3571911263.958059
0.078596,-1.000000,1.078201,3571911263.968061
0.078993,-1.000000,1.078596,3571911263.978062
0.079390,-1.000000,1.078993,3571911263.988061
0.079788,-1.000000,1.079390,3571911263.998061
0.080186,-1.000000,1.079788,3571911264.008062
0.080586,-1.000000,1.080186,3571911264.018060
0.080986,-1.000000,1.080586,3571911264.028061
0.081386,-1.000000,1.080986,3571911264.038061
0.081788,-1.000000,1.081386,3571911264.048060
0.082190,-1.000000,1.081788,3571911264.058062
0.082593,-1.000000,1.082190,3571911264.068062
0.082996,-1.000000,1.082593,3571911264.078060
0.083401,-1.000000,1.082996,3571911264.088061
0.083806,-1.000000,1.083401,3571911264.098063
0.084212,-1.000000,1.083806,3571911264.108062
0.084618,-1.000000,1.084212,3571911264.118064
0.085026,-1.000000,1.084618,3571911264.128066
0.085434,-1.000000,1.085026,3571911264.138061
0.085842,-1.000000,1.085434,3571911264.148065
0.086252,-1.000000,1.085842,3571911264.158062
0.086662,-1.000000,1.086252,3571911264.168066
0.087073,-1.000000,1.086662,3571911264.178068
0.087485,-1.000000,1.087073,3571911264.188066
0.087898,-1.000000,1.087485,3571911264.198065
0.088311,-1.000000,1.087898,3571911264.208067
0.088725,-1.000000,1.088311,3571911264.218067
0.089140,-1.000000,1.088725,3571911264.228067
0.089555,-1.000000,1.089140,3571911264.238069
0.089972,-1.000000,1.089555,3571911264.248068
0.090389,-1.000000,1.089972,3571911264.258067
0.090807,-1.000000,1.090389,3571911264.268070
0.091225,-1.000000,1.090807,3571911264.278068
0.091645,-1.000000,1.091225,3571911264.288069
0.092065,-1.000000,1.091645,3571911264.298070
0.092486,-1.000000,1.092065,3571911264.308069
0.092908,-1.000000,1.092486,3571911264.318068
0.093330,-1.000000,1.092908,3571911264.328069
0.093753,-1.000000,1.093330,3571911264.338070
0.094178,-1.000000,1.093753,3571911264.348072
0.094602,-1.000000,1.094178,3571911264.358070
0.095028,-1.000000,1.094602,3571911264.368070
0.095454,-1.000000,1.095028,3571911264.378068
0.095881,-1.000000,1.095454,3571911264.388072
0.096309,-1.000000,1.095881,3571911264.398071
0.096738,-1.000000,1.096309,3571911264.408072
0.097167,-1.000000,1.096738,3571911264.418074
0.097598,-1.000000,1.097167,3571911264.428075
0.098028,-1.000000,1.097598,3571911264.438069
0.098460,-1.000000,1.098028,3571911264.448075
0.098893,-1.000000,1.098460,3571911264.458076
0.099326,-1.000000,1.098893,3571911264.468075
0.099760,-1.000000,1.099326,3571911264.478077
0.100195,-1.000000,1.099760,3571911264.488077
0.100631,-1.000000,1.100195,3571911264.498074
0.101067,-1.000000,1.100631,3571911264.508077
0.101504,-1.000000,1.101067,3571911264.518076
0.101942,-1.000000,1.101504,3571911264.528076
0.102381,-1.000000,1.101942,3571911264.538075
0.102820,-1.000000,1.102381,3571911264.548079
