Absolute Time,eta_hat_psi,eta_hat_x,eta_hat_y,eta_mpsi,eta_mx,eta_my, eta_tilde_psi, eta_tilde_x, eta_tilde_y,nu_psi_hat, nu_x_hat, nu_y_hat
3572760065.686986,0.000017,0.000188,0.000263,0.000000,0.000000,0.000000,-0.000017,-0.000188,-0.000263,0.000082,0.001824,0.002589
3572760065.696988,0.000017,0.000188,0.000263,0.000000,0.000000,0.000000,-0.000017,-0.000188,-0.000263,0.000082,0.001819,0.002585
3572760065.706987,0.000017,0.000187,0.000262,0.000000,0.000000,0.000000,-0.000017,-0.000187,-0.000262,0.000082,0.001813,0.002581
3572760065.716987,0.000017,0.000187,0.000262,0.000000,0.000000,0.000000,-0.000017,-0.000187,-0.000262,0.000082,0.001807,0.002577
3572760065.726985,0.000017,0.000186,0.000261,0.000000,0.000000,0.000000,-0.000017,-0.000186,-0.000261,0.000082,0.001801,0.002573
3572760065.736988,0.000017,0.000185,0.000261,0.000000,0.000000,0.000000,-0.000017,-0.000185,-0.000261,0.000082,0.001795,0.002569
3572760065.746987,0.000017,0.000185,0.000261,0.000000,0.000000,0.000000,-0.000017,-0.000185,-0.000261,0.000081,0.001789,0.002565
3572760065.756988,0.000017,0.000184,0.000260,0.000000,0.000000,0.000000,-0.000017,-0.000184,-0.000260,0.000081,0.001783,0.002561
3572760065.766987,0.000017,0.000184,0.000260,0.000000,0.000000,0.000000,-0.000017,-0.000184,-0.000260,0.000081,0.001777,0.002557
3572760065.776989,0.000017,0.000183,0.000259,0.000000,0.000000,0.000000,-0.000017,-0.000183,-0.000259,0.000081,0.001771,0.002553
3572760065.786989,0.000017,0.000182,0.000259,0.000000,0.000000,0.000000,-0.000017,-0.000182,-0.000259,0.000081,0.001765,0.002549
3572760065.796990,0.000017,0.000182,0.000259,0.000000,0.000000,0.000000,-0.000017,-0.000182,-0.000259,0.000081,0.001760,0.002545
3572760065.806990,0.000017,0.000181,0.000258,0.000000,0.000000,0.000000,-0.000017,-0.000181,-0.000258,0.000081,0.001754,0.002541
3572760065.816990,0.000017,0.000181,0.000258,0.000000,0.000000,0.000000,-0.000017,-0.000181,-0.000258,0.000081,0.001748,0.002537
3572760065.826984,0.000017,0.000180,0.000257,0.000000,0.000000,0.000000,-0.000017,-0.000180,-0.000257,0.000081,0.001742,0.002533
3572760065.836991,0.000016,0.000180,0.000257,0.000000,0.000000,0.000000,-0.000016,-0.000180,-0.000257,0.000081,0.001736,0.002529
3572760065.846991,0.000016,0.000179,0.000256,0.000000,0.000000,0.000000,-0.000016,-0.000179,-0.000256,0.000080,0.001730,0.002524
3572760065.856991,0.000016,0.000178,0.000256,0.000000,0.000000,0.000000,-0.000016,-0.000178,-0.000256,0.000080,0.001724,0.002520
3572760065.866990,0.000016,0.000178,0.000256,0.000000,0.000000,0.000000,-0.000016,-0.000178,-0.000256,0.000080,0.001718,0.002516
3572760065.876992,0.000016,0.000177,0.000255,0.000000,0.000000,0.000000,-0.000016,-0.000177,-0.000255,0.000080,0.001713,0.002512
3572760065.886991,0.000016,0.000177,0.000255,0.000000,0.000000,0.000000,-0.000016,-0.000177,-0.000255,0.000080,0.001707,0.002508
3572760065.896992,0.000016,0.000176,0.000254,0.000000,0.000000,0.000000,-0.000016,-0.000176,-0.000254,0.000080,0.001701,0.002504
3572760065.906992,0.000016,0.000175,0.000254,0.000000,0.000000,0.000000,-0.000016,-0.000175,-0.000254,0.000080,0.001695,0.002500
3572760065.916993,0.000016,0.000175,0.000254,0.000000,0.000000,0.000000,-0.000016,-0.000175,-0.000254,0.000080,0.001689,0.002496
3572760065.926993,0.000016,0.000174,0.000253,0.000000,0.000000,0.000000,-0.000016,-0.000174,-0.000253,0.000080,0.001683,0.002492
3572760065.936994,0.000016,0.000174,0.000253,0.000000,0.000000,0.000000,-0.000016,-0.000174,-0.000253,0.000080,0.001678,0.002488
3572760065.946993,0.000016,0.000173,0.000252,0.000000,0.000000,0.000000,-0.000016,-0.000173,-0.000252,0.000079,0.001672,0.002484
3572760065.956994,0.000016,0.000172,0.000252,0.000000,0.000000,0.000000,-0.000016,-0.000172,-0.000252,0.000079,0.001666,0.002480
3572760065.966992,0.000016,0.000172,0.000252,0.000000,0.000000,0.000000,-0.000016,-0.000172,-0.000252,0.000079,0.001660,0.002476
3572760065.976995,0.000016,0.000171,0.000251,0.000000,0.000000,0.000000,-0.000016,-0.000171,-0.000251,0.000079,0.001654,0.002472
