Absolute Time,eta_hat_psi,eta_hat_x,eta_hat_y,eta_mpsi,eta_mx,eta_my, eta_tilde_psi, eta_tilde_x, eta_tilde_y,nu_psi_hat, nu_x_hat, nu_y_hat
3572761130.134571,-0.070630,1.085624,0.087183,-0.107013,1.127815,-0.067313,-0.036382,0.042191,-0.154495,-0.208104,0.167293,0.505155
3572761130.144572,-0.074446,1.091737,0.077085,-0.121700,1.177794,-0.063256,-0.047253,0.086057,-0.140341,-0.210496,0.167741,0.504098
3572761130.154572,-0.078818,1.102098,0.068293,-0.065562,1.120651,-0.000888,0.013256,0.018553,-0.069181,-0.213316,0.168845,0.503316
3572761130.164572,-0.080256,1.105781,0.066383,-0.032221,1.064365,-0.010523,0.048036,-0.041416,-0.076906,-0.214120,0.168891,0.503186
3572761130.174571,-0.080000,1.103596,0.063797,-0.153444,1.102630,0.181540,-0.073444,-0.000966,0.117743,-0.213650,0.168060,0.502893
3572761130.184572,-0.085687,1.105813,0.079498,-0.063965,1.159034,-0.038193,0.021722,0.053222,-0.117691,-0.217928,0.166902,0.504980
3572761130.194572,-0.086755,1.112773,0.072989,-0.077069,1.101794,0.123575,0.009686,-0.010978,0.050586,-0.218268,0.167559,0.504293
3572761130.204573,-0.088417,1.113684,0.082471,0.146810,1.171339,0.167790,0.235227,0.057655,0.085319,-0.219410,0.166858,0.505511
3572761130.214568,-0.079052,1.120046,0.095588,-0.101500,1.110455,0.013571,-0.022449,-0.009592,-0.082017,-0.212583,0.168781,0.506629
3572761130.224573,-0.082230,1.121217,0.092415,-0.111624,0.986108,0.061828,-0.029394,-0.135109,-0.030587,-0.214588,0.168215,0.506300
3572761130.234573,-0.085768,1.110474,0.094116,0.118097,1.210420,-0.091830,0.203865,0.099947,-0.185947,-0.216889,0.165373,0.506416
3572761130.244574,-0.077909,1.120990,0.081384,0.088798,1.236286,0.068438,0.166708,0.115296,-0.012946,-0.210519,0.167298,0.504438
3572761130.254575,-0.071810,1.133134,0.085076,-0.048601,1.249463,0.096551,0.023208,0.116329,0.011475,-0.205923,0.169737,0.504523
3572761130.264574,-0.072689,1.146060,0.090888,0.122740,1.274819,-0.087806,0.195430,0.128760,-0.178695,-0.206571,0.171505,0.505281
3572761130.274574,-0.065144,1.159357,0.078847,-0.270381,1.287829,-0.008770,-0.205237,0.128472,-0.087617,-0.200620,0.174027,0.503325
3572761130.284575,-0.077153,1.174464,0.074682,-0.173170,1.111385,-0.164634,-0.096018,-0.063079,-0.239317,-0.209277,0.175168,0.503550
3572761130.294574,-0.083898,1.170921,0.056332,-0.138210,1.160179,0.075344,-0.054312,-0.010742,0.019012,-0.213570,0.173930,0.501466
3572761130.304574,-0.088647,1.172192,0.062645,-0.213387,1.237761,0.019524,-0.124739,0.065569,-0.043121,-0.216957,0.172983,0.502420
3572761130.314570,-0.096876,1.181054,0.062868,0.070609,1.044354,0.030183,0.167484,-0.136700,-0.032685,-0.222713,0.173069,0.502914
3572761130.324576,-0.090857,1.169341,0.064648,-0.094582,1.090523,0.031918,-0.003725,-0.078818,-0.032730,-0.218057,0.171050,0.503094
3572761130.334576,-0.093172,1.163904,0.066148,0.125995,1.060396,0.098434,0.219167,-0.103508,0.032286,-0.219436,0.169248,0.503309
3572761130.344577,-0.084592,1.155044,0.074178,-0.041883,1.115491,-0.019749,0.042709,-0.039554,-0.093927,-0.213049,0.168214,0.504133
3572761130.354576,-0.084585,1.153077,0.069963,0.002978,1.012951,0.184865,0.087563,-0.140126,0.114902,-0.212624,0.167402,0.503597
