Absolute Time,eta_hat_psi,eta_hat_x,eta_hat_y, eta_tilde_psi, eta_tilde_x, eta_tilde_y,nu_psi_hat, nu_x_hat, nu_y_hat,eta_mpsi,eta_mx,eta_my
3572767112.004786,-0.007412,-0.548709,-0.373317,-0.000000,-0.000020,-0.000007,-0.000069,-0.004115,-0.001647,-0.007412,-0.548730,-0.373325
3572767112.014788,-0.007413,-0.548751,-0.373334,-0.000000,-0.000020,-0.000007,-0.000069,-0.004114,-0.001646,-0.007413,-0.548771,-0.373341
3572767112.024786,-0.007413,-0.548792,-0.373350,-0.000000,-0.000020,-0.000007,-0.000069,-0.004112,-0.001644,-0.007414,-0.548812,-0.373357
3572767112.034787,-0.007414,-0.548833,-0.373366,-0.000000,-0.000020,-0.000007,-0.000069,-0.004111,-0.001643,-0.007414,-0.548853,-0.373373
3572767112.044788,-0.007415,-0.548874,-0.373382,-0.000000,-0.000020,-0.000007,-0.000069,-0.004109,-0.001642,-0.007415,-0.548894,-0.373389
3572767112.054788,-0.007415,-0.548915,-0.373398,-0.000000,-0.000020,-0.000007,-0.000069,-0.004107,-0.001641,-0.007416,-0.548936,-0.373405
3572767112.064788,-0.007416,-0.548956,-0.373414,-0.000000,-0.000020,-0.000007,-0.000069,-0.004106,-0.001640,-0.007416,-0.548977,-0.373421
3572767112.074788,-0.007417,-0.548997,-0.373430,-0.000000,-0.000020,-0.000007,-0.000069,-0.004104,-0.001639,-0.007417,-0.549018,-0.373437
3572767112.084788,-0.007417,-0.549039,-0.373446,-0.000000,-0.000020,-0.000007,-0.000069,-0.004103,-0.001638,-0.007418,-0.549059,-0.373453
3572767112.094789,-0.007418,-0.549080,-0.373462,-0.000000,-0.000020,-0.000007,-0.000069,-0.004101,-0.001637,-0.007418,-0.549100,-0.373469
3572767112.104789,-0.007419,-0.549121,-0.373478,-0.000000,-0.000020,-0.000007,-0.000069,-0.004099,-0.001636,-0.007419,-0.549141,-0.373485
3572767112.114789,-0.007419,-0.549162,-0.373494,-0.000000,-0.000020,-0.000007,-0.000069,-0.004098,-0.001635,-0.007420,-0.549182,-0.373501
3572767112.124790,-0.007420,-0.549203,-0.373510,-0.000000,-0.000020,-0.000007,-0.000069,-0.004096,-0.001634,-0.007420,-0.549223,-0.373517
3572767112.134789,-0.007421,-0.549244,-0.373526,-0.000000,-0.000020,-0.000007,-0.000069,-0.004094,-0.001633,-0.007421,-0.549264,-0.373533
3572767112.144790,-0.007422,-0.549285,-0.373542,-0.000000,-0.000020,-0.000007,-0.000068,-0.004093,-0.001632,-0.007422,-0.549305,-0.373549
3572767112.154789,-0.007422,-0.549326,-0.373557,-0.000000,-0.000020,-0.000007,-0.000068,-0.004091,-0.001631,-0.007422,-0.549346,-0.373565
3572767112.164790,-0.007423,-0.549367,-0.373573,-0.000000,-0.000020,-0.000007,-0.000068,-0.004090,-0.001630,-0.007423,-0.549387,-0.373581
3572767112.174791,-0.007424,-0.549408,-0.373589,-0.000000,-0.000020,-0.000007,-0.000068,-0.004088,-0.001629,-0.007424,-0.549428,-0.373597
3572767112.184791,-0.007424,-0.549449,-0.373605,-0.000000,-0.000020,-0.000007,-0.000068,-0.004087,-0.001627,-0.007424,-0.549469,-0.373613
3572767112.194792,-0.007425,-0.549490,-0.373621,-0.000000,-0.000020,-0.000007,-0.000068,-0.004085,-0.001626,-0.007425,-0.549510,-0.373628
3572767112.204790,-0.007426,-0.549530,-0.373637,-0.000000,-0.000020,-0.000007,-0.000068,-0.004083,-0.001625,-0.007426,-0.549551,-0.373644
3572767112.214791,-0.007426,-0.549571,-0.373653,-0.000000,-0.000020,-0.000007,-0.000068,-0.004082,-0.001624,-0.007427,-0.549591,-0.373660
3572767112.224791,-0.007427,-0.549612,-0.373669,-0.000000,-0.000020,-0.000007,-0.000068,-0.004080,-0.001623,-0.007427,-0.549632,-0.373676
3572767112.234793,-0.007428,-0.549653,-0.373685,-0.000000,-0.000020,-0.000007,-0.000068,-0.004079,-0.001622,-0.007428,-0.549673,-0.373692
3572767112.244792,-0.007428,-0.549694,-0.373700,-0.000000,-0.000020,-0.000007,-0.000068,-0.004077,-0.001621,-0.007429,-0.549714,-0.373708
3572767112.254792,-0.007429,-0.549735,-0.373716,-0.000000,-0.000020,-0.000007,-0.000068,-0.004075,-0.001620,-0.007429,-0.549755,-0.373723
3572767112.264792,-0.007430,-0.549776,-0.373732,-0.000000,-0.000020,-0.000007,-0.000068,-0.004074,-0.001619,-0.007430,-0.549796,-0.373739
3572767112.274793,-0.007430,-0.549816,-0.373748,-0.000000,-0.000020,-0.000007,-0.000068,-0.004072,-0.001618,-0.007431,-0.549836,-0.373755
3572767112.284793,-0.007431,-0.549857,-0.373764,-0.000000,-0.000020,-0.000007,-0.000068,-0.004071,-0.001617,-0.007431,-0.549877,-0.373771
3572767112.294794,-0.007432,-0.549898,-0.373779,-0.000000,-0.000020,-0.000007,-0.000068,-0.004069,-0.001616,-0.007432,-0.549918,-0.373787
3572767112.304793,-0.007432,-0.549939,-0.373795,-0.000000,-0.000020,-0.000007,-0.000068,-0.004067,-0.001615,-0.007433,-0.549959,-0.373802
3572767112.314794,-0.007433,-0.549979,-0.373811,-0.000000,-0.000020,-0.000007,-0.000067,-0.004066,-0.001614,-0.007433,-0.549999,-0.373818
3572767112.324793,-0.007434,-0.550020,-0.373827,-0.000000,-0.000020,-0.000007,-0.000067,-0.004064,-0.001613,-0.007434,-0.550040,-0.373834
3572767112.334794,-0.007434,-0.550061,-0.373842,-0.000000,-0.000020,-0.000007,-0.000067,-0.004063,-0.001612,-0.007435,-0.550081,-0.373850
3572767112.344794,-0.007435,-0.550101,-0.373858,-0.000000,-0.000020,-0.000007,-0.000067,-0.004061,-0.001611,-0.007435,-0.550121,-0.373865
3572767112.354796,-0.007436,-0.550142,-0.373874,-0.000000,-0.000020,-0.000007,-0.000067,-0.004059,-0.001610,-0.007436,-0.550162,-0.373881
3572767112.364796,-0.007436,-0.550183,-0.373890,-0.000000,-0.000020,-0.000007,-0.000067,-0.004058,-0.001609,-0.007437,-0.550203,-0.373897
3572767112.374795,-0.007437,-0.550223,-0.373905,-0.000000,-0.000020,-0.000007,-0.000067,-0.004056,-0.001608,-0.007437,-0.550243,-0.373912
3572767112.384795,-0.007438,-0.550264,-0.373921,-0.000000,-0.000020,-0.000007,-0.000067,-0.004055,-0.001607,-0.007438,-0.550284,-0.373928
3572767112.394795,-0.007438,-0.550305,-0.373937,-0.000000,-0.000020,-0.000007,-0.000067,-0.004053,-0.001606,-0.007439,-0.550325,-0.373944
3572767112.404796,-0.007439,-0.550345,-0.373952,-0.000000,-0.000020,-0.000007,-0.000067,-0.004052,-0.001604,-0.007439,-0.550365,-0.373960
3572767112.414798,-0.007440,-0.550386,-0.373968,-0.000000,-0.000020,-0.000007,-0.000067,-0.004050,-0.001603,-0.007440,-0.550406,-0.373975
3572767112.424797,-0.007440,-0.550426,-0.373984,-0.000000,-0.000020,-0.000007,-0.000067,-0.004048,-0.001602,-0.007441,-0.550446,-0.373991
3572767112.434797,-0.007441,-0.550467,-0.373999,-0.000000,-0.000020,-0.000007,-0.000067,-0.004047,-0.001601,-0.007441,-0.550487,-0.374006
3572767112.444797,-0.007442,-0.550507,-0.374015,-0.000000,-0.000020,-0.000007,-0.000067,-0.004045,-0.001600,-0.007442,-0.550527,-0.374022
3572767112.454796,-0.007442,-0.550548,-0.374031,-0.000000,-0.000020,-0.000007,-0.000067,-0.004044,-0.001599,-0.007443,-0.550568,-0.374038
3572767112.464797,-0.007443,-0.550588,-0.374046,-0.000000,-0.000020,-0.000007,-0.000067,-0.004042,-0.001598,-0.007443,-0.550608,-0.374053
3572767112.474799,-0.007444,-0.550629,-0.374062,-0.000000,-0.000020,-0.000007,-0.000067,-0.004040,-0.001597,-0.007444,-0.550649,-0.374069
3572767112.484797,-0.007444,-0.550669,-0.374077,-0.000000,-0.000020,-0.000007,-0.000067,-0.004039,-0.001596,-0.007445,-0.550689,-0.374084
3572767112.494799,-0.007445,-0.550710,-0.374093,-0.000000,-0.000020,-0.000007,-0.000066,-0.004037,-0.001595,-0.007445,-0.550730,-0.374100
3572767112.504798,-0.007446,-0.550750,-0.374108,-0.000000,-0.000020,-0.000007,-0.000066,-0.004036,-0.001594,-0.007446,-0.550770,-0.374116
3572767112.514799,-0.007446,-0.550790,-0.374124,-0.000000,-0.000020,-0.000007,-0.000066,-0.004034,-0.001593,-0.007447,-0.550810,-0.374131
3572767112.524799,-0.007447,-0.550831,-0.374140,-0.000000,-0.000020,-0.000007,-0.000066,-0.004033,-0.001592,-0.007447,-0.550851,-0.374147
3572767112.534800,-0.007448,-0.550871,-0.374155,-0.000000,-0.000020,-0.000007,-0.000066,-0.004031,-0.001591,-0.007448,-0.550891,-0.374162
3572767112.544800,-0.007448,-0.550912,-0.374171,-0.000000,-0.000020,-0.000007,-0.000066,-0.004029,-0.001590,-0.007448,-0.550931,-0.374178
3572767112.554801,-0.007449,-0.550952,-0.374186,-0.000000,-0.000020,-0.000007,-0.000066,-0.004028,-0.001589,-0.007449,-0.550972,-0.374193
3572767112.564800,-0.007450,-0.550992,-0.374202,-0.000000,-0.000020,-0.000007,-0.000066,-0.004026,-0.001588,-0.007450,-0.551012,-0.374209
3572767112.574800,-0.007450,-0.551033,-0.374217,-0.000000,-0.000020,-0.000007,-0.000066,-0.004025,-0.001587,-0.007450,-0.551052,-0.374224
3572767112.584801,-0.007451,-0.551073,-0.374233,-0.000000,-0.000020,-0.000007,-0.000066,-0.004023,-0.001586,-0.007451,-0.551093,-0.374240
3572767112.594801,-0.007452,-0.551113,-0.374248,-0.000000,-0.000020,-0.000007,-0.000066,-0.004022,-0.001585,-0.007452,-0.551133,-0.374255
3572767112.604801,-0.007452,-0.551153,-0.374264,-0.000000,-0.000020,-0.000007,-0.000066,-0.004020,-0.001584,-0.007452,-0.551173,-0.374271
3572767112.614800,-0.007453,-0.551194,-0.374279,-0.000000,-0.000020,-0.000007,-0.000066,-0.004018,-0.001583,-0.007453,-0.551214,-0.374286
3572767112.624800,-0.007453,-0.551234,-0.374294,-0.000000,-0.000020,-0.000007,-0.000066,-0.004017,-0.001582,-0.007454,-0.551254,-0.374301
3572767112.634802,-0.007454,-0.551274,-0.374310,-0.000000,-0.000020,-0.000007,-0.000066,-0.004015,-0.001581,-0.007454,-0.551294,-0.374317
3572767112.644801,-0.007455,-0.551314,-0.374325,-0.000000,-0.000020,-0.000007,-0.000066,-0.004014,-0.001580,-0.007455,-0.551334,-0.374332
3572767112.654803,-0.007455,-0.551354,-0.374341,-0.000000,-0.000020,-0.000007,-0.000066,-0.004012,-0.001579,-0.007456,-0.551374,-0.374348
3572767112.664804,-0.007456,-0.551395,-0.374356,-0.000000,-0.000020,-0.000007,-0.000065,-0.004011,-0.001578,-0.007456,-0.551414,-0.374363
3572767112.674804,-0.007457,-0.551435,-0.374372,-0.000000,-0.000020,-0.000007,-0.000065,-0.004009,-0.001577,-0.007457,-0.551455,-0.374379
3572767112.684804,-0.007457,-0.551475,-0.374387,-0.000000,-0.000020,-0.000007,-0.000065,-0.004007,-0.001576,-0.007458,-0.551495,-0.374394
3572767112.694804,-0.007458,-0.551515,-0.374402,-0.000000,-0.000020,-0.000007,-0.000065,-0.004006,-0.001575,-0.007458,-0.551535,-0.374409
3572767112.704804,-0.007459,-0.551555,-0.374418,-0.000000,-0.000020,-0.000007,-0.000065,-0.004004,-0.001574,-0.007459,-0.551575,-0.374425
3572767112.714804,-0.007459,-0.551595,-0.374433,-0.000000,-0.000020,-0.000007,-0.000065,-0.004003,-0.001573,-0.007460,-0.551615,-0.374440
3572767112.724805,-0.007460,-0.551635,-0.374448,-0.000000,-0.000020,-0.000007,-0.000065,-0.004001,-0.001572,-0.007460,-0.551655,-0.374455
3572767112.734806,-0.007461,-0.551675,-0.374464,-0.000000,-0.000020,-0.000007,-0.000065,-0.004000,-0.001571,-0.007461,-0.551695,-0.374471
3572767112.744804,-0.007461,-0.551715,-0.374479,-0.000000,-0.000020,-0.000007,-0.000065,-0.003998,-0.001570,-0.007462,-0.551735,-0.374486
3572767112.754805,-0.007462,-0.551755,-0.374494,-0.000000,-0.000020,-0.000007,-0.000065,-0.003996,-0.001569,-0.007462,-0.551775,-0.374501
3572767112.764806,-0.007463,-0.551796,-0.374510,-0.000000,-0.000020,-0.000007,-0.000065,-0.003995,-0.001568,-0.007463,-0.551815,-0.374517
3572767112.774806,-0.007463,-0.551835,-0.374525,-0.000000,-0.000020,-0.000007,-0.000065,-0.003993,-0.001567,-0.007463,-0.551855,-0.374532
3572767112.784806,-0.007464,-0.551875,-0.374540,-0.000000,-0.000020,-0.000007,-0.000065,-0.003992,-0.001566,-0.007464,-0.551895,-0.374547
3572767112.794805,-0.007464,-0.551915,-0.374555,-0.000000,-0.000020,-0.000007,-0.000065,-0.003990,-0.001564,-0.007465,-0.551935,-0.374562
3572767112.804806,-0.007465,-0.551955,-0.374571,-0.000000,-0.000020,-0.000007,-0.000065,-0.003989,-0.001563,-0.007465,-0.551975,-0.374578
